CompanyName,Address,City,State,Zip,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude,CensusBlock,CensusBlockGroup,CensusTract
1701 Executive Cigar Bar,140 Cadillac Sq,Detroit,MI,48226,599301,Cigar Cigarette & Tobacco Dealers-Retail,599301,Cigar Cigarette & Tobacco Dealers-Retail,42.33129958,-83.04414053,1067,1,5172
234 Winder Street Inn,234 Winder St,Detroit,MI,48201,701107,Bed & Breakfast Accommodations,701107,Bed & Breakfast Accommodations,42.3417962,-83.050103,1024,1,5173
3rd Street Bar,4626 3rd St,Detroit,MI,48201,581301,Bars,581301,Bars,42.3521607,-83.0694634,1000,1,5204
Abick's Bar,3500 Gilbert St,Detroit,MI,48210,581301,Bars,581301,Bars,42.32633751,-83.11848432,4006,4,5257
Adam's Apple,18931 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,42.3429963,-83.224914,5009,5,5458
Alaskan Bar,7627 Michigan Ave,Detroit,MI,48210,581301,Bars,581301,Bars,42.33100271,-83.13682751,2004,2,5257
Amore Da Roma,3401 Riopelle St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,42.3509208,-83.0418367,1046,1,5189
Anchor Bar,450 W Fort St # 100,Detroit,MI,48226,581301,Bars,581301,Bars,42.32907736,-83.05142453,1026,1,5208
Andrews On The Corner,201 Joseph Campau St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,42.33796112,-83.01884294,1022,1,5165
Another Friendly Bar,2500 Park Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.33995758,-83.05521934,3007,3,5225
Applebee's,2111 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants,581208,Restaurants,42.42165862,-83.10229811,2002,2,5079
Applebee's,333 E Jefferson Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3305039,-83.0417498,1063,1,5172
Axis Lounge,1777 3rd St # Mgmgrand,Detroit,MI,48226,581301,Bars,581301,Bars,42.333673,-83.060364,1047,1,5207
Bad Luck Bar,1218 Griswold St,Detroit,MI,48226,581301,Bars,581301,Bars,42.33269204,-83.04895639,2008,2,5207
Baker's Keyboard Lounge,20510 Livernois Ave,Detroit,MI,48221,581304,Night Clubs,581304,Night Clubs,42.4453804,-83.1416089,1002,1,5381
Banko's Lounge,14168 Wyoming St,Detroit,MI,48238,864108,Clubs,864108,Clubs,42.3912704,-83.1588624,5009,5,5366
Berts Marketplace,2727 Russell St,Detroit,MI,48207,581301,Bars,581301,Bars,42.3470973,-83.04106769,1090,1,5189
Big City Bar & Grill,1020 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,42.33080748,-83.05059577,1003,1,5208
Bigalora A Checkpoint,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,42.21209836,-83.35168415,1021,1,9854
Billeo's,19164 Kelly Rd,Detroit,MI,48224,581301,Bars,581301,Bars,42.4354061,-82.951878,4001,4,5007
Bleu Room Experience Inc,1540 Woodward Ave,Detroit,MI,48226,864108,Clubs,864108,Clubs,42.3356748,-83.0494669,2053,2,5172
Bookie's Grill,2208 Cass Ave,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,42.3368633,-83.0555174,1017,1,5207
Bookies's Ham & Soul,23636 Grand River Ave,Detroit,MI,48219,581301,Bars,581301,Bars,42.42290052,-83.27292732,3016,3,5414
Brass Rail,18 W Adams Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3370161,-83.0514904,1014,1,5207
Briggs Detroit,519 E Jefferson Ave,Detroit,MI,48226,653118,Real Estate,653118,Real Estate,42.3312278,-83.0397047,1058,1,5172
Bronx Cafe,4476 2nd Ave,Detroit,MI,48201,581301,Bars,581301,Bars,42.3522148,-83.066862,1002,1,5203
Bud Bar,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,42.21209836,-83.35168415,1021,1,9854
Buffalo Wild Wings Grill & Bar,1218 Randolph St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,42.3343569,-83.0445485,1034,1,5172
Buhl Bar,1117 Griswold St # 1416,Detroit,MI,48226,581301,Bars,581301,Bars,42.3319474,-83.049301,2014,2,5207
Cardoni's Bar & Grill,6615 Greenfield Rd,Detroit,MI,48228,581301,Bars,581301,Bars,42.339818,-83.1965043,1007,1,5456
Cas Bar,7800 Michigan Ave,Detroit,MI,48210,581301,Bars,581301,Bars,42.3314166,-83.139013,2000,2,5260
Casey's Bar,7677 Dix St,Detroit,MI,48209,581301,Bars,581301,Bars,42.3168334,-83.1271071,1009,1,5240
