CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
99 Cent Store,17510 Livernois Ave,Detroit,MI,48221,531104,Retail Shops,42.42095943,-83.14091874
Almost Ninety-Ninety Ctr Store,309 W 7 Mile Rd,Detroit,MI,48203,531104,Retail Shops,42.43213083,-83.10702838
Artloft,4160 Cass Ave # C,Detroit,MI,48201,571929,Housewares-Retail,42.3503816,-83.0632055
Bargain Clubbiz,13940 Tireman St,Detroit,MI,48228,531104,Retail Shops,42.35130037,-83.18058761
C K Minyarie LLC,220 Bagley St,Detroit,MI,48226,531104,Retail Shops,42.3347951,-83.0533837
Complete Dollar Store,18200 Plymouth Rd,Detroit,MI,48228,531104,Retail Shops,42.37232387,-83.21803013
D's Dollar Place,11831 Livernois Ave,Detroit,MI,48204,531104,Retail Shops,42.37538509,-83.13916677
Danny's Dollar Store,14353 Livernois Ave,Detroit,MI,48238,531104,Retail Shops,42.39329925,-83.13993555
Dmr Properties Inc,645 Washington Blvd,Detroit,MI,48226,531104,Retail Shops,42.32910689,-83.04956424
Dollar & Up,11351 Morang Dr,Detroit,MI,48224,531104,Retail Shops,42.424007,-82.945698
Dollar Amigo Plus,17321 W 7 Mile Rd,Detroit,MI,48235,531104,Retail Shops,42.43007182,-83.21400862
Dollar Castle,16810 Schaefer Hwy,Detroit,MI,48235,531104,Retail Shops,42.41400325,-83.17959769
Dollar Center,15405 Gratiot Ave # 500,Detroit,MI,48205,533101,Variety Stores,42.448338,-82.9699111
Dollar Center 39,10740 W Mcnichols Rd,Detroit,MI,48221,531104,Retail Shops,42.4171216,-83.1688494
Dollar Crown Inc,8100 E 7 Mile Rd,Detroit,MI,48234,531104,Retail Shops,42.43392009,-83.02207308
Dollar Daze Plus,13881 Gratiot Ave,Detroit,MI,48205,533101,Variety Stores,42.4291744,-82.9821864
Dollar Deal Plus,18610 Fenkell St # B,Detroit,MI,48223,531104,Retail Shops,42.40105192,-83.22416201
Dollar General,10220 Gratiot Ave,Detroit,MI,48213,533101,Variety Stores,42.39696455,-83.00258834
Dollar General,10920 E Jefferson Ave,Detroit,MI,48214,533101,Variety Stores,42.36508313,-82.97441196
Dollar General,12421 Hayes St,Detroit,MI,48205,533101,Variety Stores,42.4219931,-82.9654425
Dollar General,12555 Grand River Ave # 900,Detroit,MI,48204,533101,Variety Stores,42.37948762,-83.16590788
Dollar General,12815 E Jefferson Ave,Detroit,MI,48215,533101,Variety Stores,42.37047172,-82.95504472
Dollar General,13341 E 7 Mile Rd,Detroit,MI,48205,533101,Variety Stores,42.43493546,-82.98828099
