CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
6 & Lodge Liquor,12730 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail,42.4168849,-83.1709369
A & A Party Place,11901 Gratiot Ave,Detroit,MI,48213,592102,Liquors-Retail,42.4118171,-82.9934286
A & L Market,10826 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail,42.3589791,-83.167001
AAA Liquor Store,13023 E Warren Ave,Detroit,MI,48215,592102,Liquors-Retail,42.3929431,-82.9666522
Abby's Party Store,6509 Michigan Ave,Detroit,MI,48210,592102,Liquors-Retail,42.3308933,-83.1237885
ABC Liquor Store,8024 Greenfield Rd,Detroit,MI,48228,592102,Liquors-Retail,42.3511989,-83.1962314
Action Market III,14234 Puritan St,Detroit,MI,48227,592102,Liquors-Retail,42.40927383,-83.18519736
Al Pisa Liquor,13900 Meyers Rd,Detroit,MI,48227,592102,Liquors-Retail,42.3883937,-83.1684001
Aladdin Beverage,19100 Van Dyke St,Detroit,MI,48234,514937,Beverages (Whls),42.43397714,-83.02416716
Amori's Market Place,1404 E Jefferson Ave,Detroit,MI,48207,592102,Liquors-Retail,42.33396185,-83.03235087
Amouri's Grand Foods,7225 E Jefferson Ave,Detroit,MI,48214,592102,Liquors-Retail,42.34751354,-83.00147661
Angie's Beer & Wine,8441 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail,42.3588229,-83.1527954
Aston Liquor,17741 Schoolcraft,Detroit,MI,48223,592102,Liquors-Retail,42.386425,-83.2182892
Athens Grocery Co,579 Monroe St,Detroit,MI,48226,592102,Liquors-Retail,42.3356632,-83.041352
Athens Liquor Store,579 Monroe St,Detroit,MI,48226,541105,Grocers-Retail,42.3356632,-83.041352
Baileys Liquor,13940 Dexter Ave,Detroit,MI,48238,592102,Liquors-Retail,42.39338556,-83.13320868
Basil's Party Store,4515 Grand River Ave,Detroit,MI,48208,592102,Liquors-Retail,42.34635548,-83.08374508
Bellacino's Pizza & Grinders,2867 E 7 Mile Rd,Detroit,MI,48234,581222,Pizza,42.43300702,-83.07499916
Bellagio Liquor,12525 Mack Ave,Detroit,MI,48215,592102,Liquors-Retail,42.38380076,-82.96755455
Bellagio Liquor Shoppe,24341 W 7 Mile Rd,Detroit,MI,48219,592104,Beer & Ale-Retail,42.42871074,-83.28108468
Benchmark,15401 Joy Rd,Detroit,MI,48228,581208,Restaurants,42.3578727,-83.1961685
Big Daddy,9100 Oakland St,Detroit,MI,48211,592102,Liquors-Retail,42.3863309,-83.0725654
Big Daddy Liquor Store II,9191 Livernois Ave,Detroit,MI,48204,592102,Liquors-Retail,42.36275878,-83.13863278
Big Daddy's Liquors,18551 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail,42.357489,-83.2223231
Big Top Liquor,3888 W Warren Ave,Detroit,MI,48208,592102,Liquors-Retail,42.3450579,-83.1059529
Blue Jay Market,15956 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail,42.40878834,-83.1404051
Bond Liquor,12950 Fenkell St,Detroit,MI,48227,592102,Liquors-Retail,42.4024176,-83.1723835
Brand Liquor Shoppe,6301 Mack Ave,Detroit,MI,48207,592102,Liquors-Retail,42.3615359,-83.0215656
Brightmoore Liquor,22002 Lyndon St,Detroit,MI,48223,581208,Restaurants,42.3933299,-83.2570149
Cadillac Food Plaza,111 Cadillac Sq,Detroit,MI,48226,592102,Liquors-Retail,42.3319513,-83.0442597
