CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
Academy Of The Americas,5680 Konkel St,Detroit,MI,48210,821103,Schools,42.3274059,-83.1095994
Akwaaba After School Program,8045 2nd Ave,Detroit,MI,48202,821103,Schools,42.3734834,-83.0798849
Al Ikhlas Training Academy,12555 Mcdougall St,Detroit,MI,48212,821103,Schools,42.4099452,-83.0643033
Allen Academy,4317 Blaine St,Detroit,MI,48204,821103,Schools,42.3642814,-83.11935899
American Promise Schools,15000 Trojan St,Detroit,MI,48235,821103,Schools,42.44150853,-83.1949937
Ann Arbor Trail Middle School,7635 Chatham,Detroit,MI,48239,821103,Schools,42.34667123,-83.26036584
Bagley Elementary School,8100 Curtis St,Detroit,MI,48221,821103,Schools,42.4251655,-83.1522176
Barton Elementary School,8530 Joy Rd,Detroit,MI,48204,821103,Schools,42.3596211,-83.154154
Bates Academy,19701 Wyoming St,Detroit,MI,48221,821103,Schools,42.43676572,-83.16125311
Beard Elementary School,840 Waterman St,Detroit,MI,48209,821103,Schools,42.30578414,-83.10916886
Benjamin Carson High Sch-Sci,571 Mack Ave,Detroit,MI,48201,821103,Schools,42.35022034,-83.05123993
Benjamin E May's Male Academy,3544 Iroquois St,Detroit,MI,48214,821103,Schools,42.3685236,-83.0013085
Bennett Elementary School,2111 Mullane St,Detroit,MI,48209,821103,Schools,42.3091617,-83.1296502
Blanche Kelso Bruce Academy,5555 Conner St # 2223,Detroit,MI,48213,821103,Schools,42.3923244,-82.982721
Board Of Edu City Detroit,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools,42.4343361,-83.00468627
Board Of Edu City Detroit,2301 Van Dyke St,Detroit,MI,48214,821103,Schools,42.35950358,-83.00083382
Booth Continuing Education,130 W Grand Blvd,Detroit,MI,48216,821103,Schools,42.3146673,-83.0821755
Bow Elementary School,19801 Prevost St,Detroit,MI,48235,821103,Schools,42.4366185,-83.2049196
Breithaupt Career & Tech Ctr,9300 Hubbell St,Detroit,MI,48228,821103,Schools,42.3621404,-83.1866409
Brenda Scott Elementary Middle,18440 Hoover St,Detroit,MI,48205,821103,Schools,42.42939605,-83.00433723
