CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,Latitude,Longitude
44 Burrito,14015 W 8 Mile Rd,Detroit,MI,48235,581208,Restaurants,42.44500762,-83.18578194
Applebee's,2111 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants,42.42165862,-83.10229811
Applebee's,333 E Jefferson Ave,Detroit,MI,48226,581208,Restaurants,42.3305039,-83.0417498
Barakah Kabob,17620 W Warren Ave,Detroit,MI,48228,581206,Foods-Carry Out,42.3436634,-83.2141959
Bellacino's Pizza & Grinders,1001 Woodward Ave # 100,Detroit,MI,48226,581222,Pizza,42.3319717,-83.0476654
Bellacino's Pizza & Grinders,2867 E 7 Mile Rd,Detroit,MI,48234,581222,Pizza,42.43300702,-83.07499916
Big Burgzs,17627 E Warren Ave,Detroit,MI,48224,581208,Restaurants,42.4087763,-82.9231789
Blimpie Subs & Salads,108 W Hancock St,Detroit,MI,48201,581208,Restaurants,42.3552515,-83.06549
Boston Market,18610 Livernois Ave,Detroit,MI,48221,581208,Restaurants,42.42807645,-83.14125557
BP,10736 E Jefferson Ave,Detroit,MI,48214,554101,Service Stations-Gasoline & Oil,42.3641995,-82.9756556
Buddy's Pizza,17125 Conant St,Detroit,MI,48212,581222,Pizza,42.418961,-83.0641484
Buffalo Wild Wings Grill & Bar,1218 Randolph St,Detroit,MI,48226,581208,Restaurants,42.3343569,-83.0445485
Burger King,12661 Mack Ave,Detroit,MI,48215,581208,Restaurants,42.384254,-82.9659974
Burger King,13600 W Mcnichols Rd,Detroit,MI,48235,581208,Restaurants,42.4168457,-83.1804269
Burger King,1425 W Lafayette Blvd,Detroit,MI,48216,581208,Restaurants,42.3253866,-83.0616602
Burger King,15500 W 7 Mile Rd,Detroit,MI,48235,581208,Restaurants,42.43051191,-83.19988115
Burger King,16245 Livernois Ave,Detroit,MI,48221,581208,Restaurants,42.4119034,-83.1409609
Burger King,17440 E Warren Ave,Detroit,MI,48224,581208,Restaurants,42.4074203,-82.9251289
Burger King,18021 Kelly Rd,Detroit,MI,48224,581208,Restaurants,42.42807783,-82.95812166
Burger King,18440 Grand River Ave,Detroit,MI,48223,581208,Restaurants,42.40299772,-83.22376144
Burger King,19901 Van Dyke St,Detroit,MI,48234,581208,Restaurants,42.4417597,-83.0250714
Burger King,20200 Grand River Ave,Detroit,MI,48219,581208,Restaurants,42.40954107,-83.24003925
Burger King,2155 Gratiot Ave,Detroit,MI,48207,581208,Restaurants,42.3502046,-83.0342869
Burger King,3200 W Davison,Detroit,MI,48238,581208,Restaurants,42.3911251,-83.1280843
Burger King,400 Renaissance Ctr # 1042,Detroit,MI,48243,581208,Restaurants,42.32991841,-83.04004761
Burger King,6251 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants,42.3153257,-83.1092144
Burger King,8585 Greenfield Rd,Detroit,MI,48228,581208,Restaurants,42.3565617,-83.1974588
Burger King,9239 Gratiot Ave,Detroit,MI,48213,581208,Restaurants,42.38994034,-83.00744931
Burger King,9871 Livernois Ave,Detroit,MI,48204,581208,Restaurants,42.3696456,-83.1395159
Captain Jay's Fish & Chicken,12248 E Warren Ave,Detroit,MI,48215,581208,Restaurants,42.3894424,-82.9745987
Checkers Drive-In Restaurant,10711 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants,42.43117124,-83.16872063
Checkers Drive-In Restaurant,11641 Greenfield Rd,Detroit,MI,48227,581208,Restaurants,42.37277912,-83.19765882
Checkers Drive-In Restaurant,14350 Livernois Ave,Detroit,MI,48238,581208,Restaurants,42.3939322,-83.1393621
Checkers Drive-In Restaurant,16511 Harper Ave,Detroit,MI,48224,581208,Restaurants,42.41260568,-82.94232904
Checkers Drive-In Restaurant,17620 Grand River Ave,Detroit,MI,48227,581208,Restaurants,42.39960601,-83.2153377
Checkers Drive-In Restaurant,19801 W 8 Mile Rd,Detroit,MI,48219,581208,Restaurants,42.44366519,-83.23934794
Checkers Drive-In Restaurant,4030 E 8 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.44716037,-83.06460881
Checkers Drive-In Restaurant,4664 Woodward Ave,Detroit,MI,48201,581208,Restaurants,42.35442935,-83.06266887
Checkers Drive-In Restaurant,6060 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants,42.3161459,-83.106636
Checkers Drive-In Restaurant,9515 Michigan Ave,Detroit,MI,48210,581208,Restaurants,42.3275935,-83.1560985
Chick-Fil-A,2562 Worldgateway Pl,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Chick-Fil-A,3990 John R St,Detroit,MI,48201,581208,Restaurants,42.35092335,-83.05754815
Chicken Shack Restaurant,14630 Mack Ave,Detroit,MI,48215,581208,Restaurants,42.38677545,-82.95043661
Chili's Grill & Bar,5707 Southfield Fwy,Detroit,MI,48228,581208,Restaurants,42.33223004,-83.2163289
Chungs Chinese Carry Out,12518 Kelly Rd,Detroit,MI,48224,581206,Foods-Carry Out,42.4223196,-82.9618746
Church's Chicken,11501 Woodward Ave,Detroit,MI,48202,581208,Restaurants,42.3912338,-83.087789
Church's Chicken,11965 E Warren Ave,Detroit,MI,48214,581208,Restaurants,42.3893887,-82.9774941
Church's Chicken,13531 Fenkell St,Detroit,MI,48227,581208,Restaurants,42.4018274,-83.1786729
Church's Chicken,14260 Gratiot Ave,Detroit,MI,48205,581208,Restaurants,42.434847,-82.9773186
Church's Chicken,15525 W Chicago St,Detroit,MI,48228,581208,Restaurants,42.36527103,-83.19754174
Church's Chicken,16100 Livernois Ave,Detroit,MI,48221,581208,Restaurants,42.40991071,-83.14044717
Church's Chicken,18138 W 7 Mile Rd,Detroit,MI,48219,581208,Restaurants,42.43009143,-83.22004315
Church's Chicken,19741 W Mcnichols Rd,Detroit,MI,48219,581208,Restaurants,42.4148897,-83.2366567
Church's Chicken,2928 E 7 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.43283261,-83.07387817
Church's Chicken,6931 E Jefferson Ave,Detroit,MI,48207,581208,Restaurants,42.34651489,-83.00380725
Church's Chicken,7060 Michigan Ave,Detroit,MI,48210,581208,Restaurants,42.3313716,-83.1317203
Church's Chicken,9137 Grand River Ave,Detroit,MI,48204,581208,Restaurants,42.36498474,-83.12992386
Cottage Inn Pizza,107 Monroe St,Detroit,MI,48226,581222,Pizza,42.33305741,-83.04567204
Crab House,19721 W 7 Mile Rd,Detroit,MI,48219,581208,Restaurants,42.42953559,-83.23689973
Dairy Queen,24671 Grand River Ave,Detroit,MI,48219,581203,Ice Cream Parlors,42.42718879,-83.28498567
Dairy Queen,6677 Michigan Ave,Detroit,MI,48210,581203,Ice Cream Parlors,42.3309254,-83.1260506
Dairy Queen,9151 Wyoming St,Detroit,MI,48204,581203,Ice Cream Parlors,42.3619222,-83.1583703
Dan & Vi's Pizza,5951 Chene St,Detroit,MI,48211,581222,Pizza,42.3735929,-83.0463533
Detroit Soul Food Restaurant,2900 E 8 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.44704312,-83.0741736
Domino's,10425 Bonita St,Detroit,MI,48224,581222,Pizza,42.4133525,-82.9595032
Domino's,10437 W Mcnichols Rd,Detroit,MI,48221,581222,Pizza,42.4165201,-83.1654609
Domino's,13250 Gratiot Ave,Detroit,MI,48205,581222,Pizza,42.4236545,-82.9847454
Domino's,16005 W Mcnichols Rd,Detroit,MI,48235,581222,Pizza,42.4155775,-83.2049347
Domino's,1636 E 8 Mile Rd,Detroit,MI,48203,581222,Pizza,42.44683376,-83.08782488
Domino's,17140 E Warren Ave,Detroit,MI,48224,581222,Pizza,42.4061284,-82.9287669
Domino's,535 Griswold St # 101,Detroit,MI,48226,581222,Pizza,42.3294201,-83.0469289
Domino's,5564 Woodward Ave,Detroit,MI,48202,581222,Pizza,42.36142372,-83.06724567
Domino's,7603 W Vernor Hwy,Detroit,MI,48209,581222,Pizza,42.3128592,-83.1230504
Einstein Bros Bagels,695 Williams Mall,Detroit,MI,48202,546101,Bagels,42.3572403,-83.07012701
Fair Star Inn,16209 E Warren Ave,Detroit,MI,48224,581208,Restaurants,42.4023258,-82.9408088
Fish & Chicken Subs,13465 Schaefer Hwy,Detroit,MI,48227,581208,Restaurants,42.38554157,-83.17853538
Fish Station,2640 S Fort St,Detroit,MI,48217,581206,Foods-Carry Out,42.27034421,-83.16063671
Five Guys,508 Monroe St,Detroit,MI,48226,581208,Restaurants,42.3349135,-83.0418231
Giordano's,1224 Randolph St,Detroit,MI,48226,581208,Restaurants,42.3344704,-83.0446249
Granite City Food & Brewery,100 Renaissance Ctr # 1101,Detroit,MI,48243,581208,Restaurants,42.32948284,-83.04117049
Gregg's Pizza & Bar-B-Que,17160 Livernois Ave,Detroit,MI,48221,581222,Pizza,42.4180294,-83.1404934
Happy's Pizza,15128 Plymouth Rd,Detroit,MI,48227,581208,Restaurants,42.37276364,-83.19350133
Hard Rock Cafe,45 Monroe St,Detroit,MI,48226,581208,Restaurants,42.33222411,-83.04631721
House Of Bbq Inc,16619 E Warren Ave,Detroit,MI,48224,581224,Barbecue Restaurant,42.4044728,-82.93498
Hungry Howie's Pizza,4201 Saint Antoine St,Detroit,MI,48201,581222,Pizza,42.35406057,-83.0535984
IHOP Restaurant,147 E Grand Blvd,Detroit,MI,48207,581208,Restaurants,42.34793996,-83.00269699
IHOP Restaurant,2701 E Jefferson Ave,Detroit,MI,48207,581208,Restaurants,42.3392853,-83.0213687
IHOP Restaurant,333 E Jefferson Ave,Detroit,MI,48226,581208,Restaurants,42.3305039,-83.0417498
Jet's Pizza,15235 E 7 Mile Rd,Detroit,MI,48205,581222,Pizza,42.43552564,-82.96505813
Jet's Pizza,3420 E Jefferson Ave,Detroit,MI,48207,581222,Pizza,42.3424906,-83.0112963
Jet's Pizza,4718 Anthony Wayne Dr,Detroit,MI,48201,581222,Pizza,42.35258763,-83.06993167
Jimmy John's,5118 Anthony Wayne Dr,Detroit,MI,48202,581208,Restaurants,42.35586181,-83.07175083
Jimmy John's,615 Griswold St # 1,Detroit,MI,48226,581208,Restaurants,42.3299215,-83.0471619
Jimmy John's,95 Monroe St,Detroit,MI,48226,581208,Restaurants,42.33295531,-83.04575113
KFC,13546 W Mcnichols Rd,Detroit,MI,48235,581208,Restaurants,42.41667649,-83.17917975
KFC,14201 W 7 Mile Rd,Detroit,MI,48235,581208,Restaurants,42.43081581,-83.18521029
KFC,15700 E 8 Mile Rd,Detroit,MI,48205,581208,Restaurants,42.44990162,-82.95986595
KFC,17750 Fenkell St,Detroit,MI,48227,581208,Restaurants,42.4015924,-83.2174969
KFC,22345 Grand River Ave,Detroit,MI,48219,581208,Restaurants,42.4179781,-83.26158749
KFC,2600 E 8 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.44701701,-83.07663604
KFC,2601 W Davison,Detroit,MI,48238,581208,Restaurants,42.39293295,-83.12200312
KFC,2716 W Grand Blvd,Detroit,MI,48208,581208,Restaurants,42.3649604,-83.0862354
KFC,3785 Gratiot Ave,Detroit,MI,48207,581208,Restaurants,42.3649708,-83.0243603
KFC,8939 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants,42.43127629,-83.15992957
KFC,9041 Chalmers St,Detroit,MI,48213,581208,Restaurants,42.4050979,-82.9651605
KFC,9848 Livernois Ave,Detroit,MI,48204,581208,Restaurants,42.3693231,-83.1384106
Krispy Krunchy Chicken,10736 E Jefferson Ave,Detroit,MI,48214,581208,Restaurants,42.3641995,-82.9756556
Krispy Krunchy Chicken,1404 E Jefferson Ave,Detroit,MI,48207,581208,Restaurants,42.33396185,-83.03235087
Krispy Krunchy Chicken,15603 Grand River Ave,Detroit,MI,48227,581208,Restaurants,42.39316647,-83.19987187
Krispy Krunchy Chicken,17017 Harper Ave,Detroit,MI,48224,581208,Restaurants,42.41638466,-82.93696258
Krispy Krunchy Chicken,18149 W Mcnichols Rd,Detroit,MI,48219,581208,Restaurants,42.4152487,-83.2198379
Krispy Krunchy Chicken,20000 Joy Rd,Detroit,MI,48228,581208,Restaurants,42.35766285,-83.23596109
Krispy Krunchy Chicken,3643 Gratiot Ave,Detroit,MI,48207,581208,Restaurants,42.36264797,-83.02550292
Krispy Krunchy Chicken,4100 E 8 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.44716817,-83.06386916
Krispy Krunchy Chicken,579 Monroe St,Detroit,MI,48226,581208,Restaurants,42.3356632,-83.041352
Krispy Krunchy Chicken,7255 E Jefferson Ave,Detroit,MI,48214,581208,Restaurants,42.3479519,-83.0009346
LA Tropicana Market,8710 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants,42.3092899,-83.1330901
Leo's Coney Island,2566 Worldgateway Pl,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Leong's Chinese Carry Out,13330 Gratiot Ave,Detroit,MI,48205,581208,Restaurants,42.4241828,-82.9844008
Linns Fish & Chicken,12863 Livernois Ave,Detroit,MI,48238,581208,Restaurants,42.38388582,-83.13952097
Little Caesars Pizza,10200 W 7 Mile Rd,Detroit,MI,48221,581222,Pizza,42.43141998,-83.16313324
Little Caesars Pizza,12039 Gratiot Ave,Detroit,MI,48205,581222,Pizza,42.4130302,-82.9926927
Little Caesars Pizza,12555 Grand River Ave # 350,Detroit,MI,48204,581222,Pizza,42.37948762,-83.16590788
Little Caesars Pizza,12712 Fenkell St,Detroit,MI,48227,581222,Pizza,42.40231687,-83.16953603
Little Caesars Pizza,14313 Greenfield Rd,Detroit,MI,48227,581222,Pizza,42.39186224,-83.1984349
Little Caesars Pizza,14351 Harper Ave,Detroit,MI,48213,581222,Pizza,42.4047816,-82.9650388
Little Caesars Pizza,14867 Gratiot Ave,Detroit,MI,48205,581222,Pizza,42.44220668,-82.97310921
Little Caesars Pizza,17200 Livernois Ave,Detroit,MI,48221,581222,Pizza,42.41806622,-83.14078799
Little Caesars Pizza,18310 W Chicago St,Detroit,MI,48228,581222,Pizza,42.36510378,-83.21920652
Little Caesars Pizza,19116 Grand River Ave,Detroit,MI,48223,581222,Pizza,42.40519337,-83.22922411
Little Caesars Pizza,19190 Kelly Rd,Detroit,MI,48224,581222,Pizza,42.43585971,-82.95182004
Little Caesars Pizza,19400 W 7 Mile Rd,Detroit,MI,48219,581222,Pizza,42.42981184,-83.23336932
Little Caesars Pizza,19615 Plymouth Rd,Detroit,MI,48228,581222,Pizza,42.3716004,-83.2341224
Little Caesars Pizza,2024 E 8 Mile Rd,Detroit,MI,48234,581222,Pizza,42.44696862,-83.08112722
Little Caesars Pizza,2211 Woodward Ave,Detroit,MI,48201,581222,Pizza,42.33833254,-83.05190184
Little Caesars Pizza,2918 W Davison,Detroit,MI,48238,581222,Pizza,42.3919668,-83.12511748
Little Caesars Pizza,4635 W Vernor Hwy,Detroit,MI,48209,581222,Pizza,42.31948607,-83.09753899
Little Caesars Pizza,500 Mount Elliott St # 400,Detroit,MI,48207,581222,Pizza,42.34459536,-83.01048596
Little Caesars Pizza,530 E Warren Ave,Detroit,MI,48201,581222,Pizza,42.35895695,-83.05902935
Little Caesars Pizza,7447 Gratiot Ave,Detroit,MI,48213,581222,Pizza,42.37526979,-83.01716068
Little Caesars Pizza,7633 Michigan Ave,Detroit,MI,48210,581222,Pizza,42.33100313,-83.13689133
Little Italy Pizzeria Carry,16800 E 8 Mile Rd,Detroit,MI,48205,581222,Pizza,42.45013895,-82.9463834
Long John Silver's,11288 Gratiot Ave,Detroit,MI,48213,581208,Restaurants,42.409567,-82.9939503
Louisiana Creole Gumbo,2051 Gratiot Ave,Detroit,MI,48207,581208,Restaurants,42.34904633,-83.03460408
M George's Coney Island,7690 E 7 Mile Rd,Detroit,MI,48234,581208,Restaurants,42.43385711,-83.02535726
Mary Le Carry Out,14901 E 7 Mile Rd,Detroit,MI,48205,581206,Foods-Carry Out,42.43541909,-82.96861818
Mc Donald's,1 Detroit Metro Airport,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Mc Donald's,100 Renaissance Ctr,Detroit,MI,48243,581208,Restaurants,42.32948284,-83.04117049
Mc Donald's,1000 Mack Ave,Detroit,MI,48207,581208,Restaurants,42.3512809,-83.04637
Mc Donald's,10400 Gratiot Ave,Detroit,MI,48213,581208,Restaurants,42.3992225,-83.0004841
Mc Donald's,1101 Springwells St,Detroit,MI,48209,581208,Restaurants,42.3032357,-83.1209907
Mc Donald's,1321 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants,42.42165862,-83.10229811
Mc Donald's,13500 Linwood St,Detroit,MI,48238,581208,Restaurants,42.3933597,-83.1218839
Mc Donald's,13676 Grand River Ave,Detroit,MI,48227,581208,Restaurants,42.38489773,-83.17884579
Mc Donald's,14204 W 7 Mile Rd,Detroit,MI,48235,581208,Restaurants,42.43099489,-83.18523805
Mc Donald's,14271 Gratiot Ave,Detroit,MI,48205,581208,Restaurants,42.43491881,-82.9779081
Mc Donald's,15321 Wyoming St,Detroit,MI,48238,581208,Restaurants,42.40288496,-83.15979884
Mc Donald's,15501 Plymouth Rd,Detroit,MI,48227,581208,Restaurants,42.3722632,-83.1981593
Mc Donald's,15550 W Mcnichols Rd,Detroit,MI,48235,581208,Restaurants,42.4160531,-83.20005146
Mc Donald's,17121 Livernois Ave,Detroit,MI,48221,581208,Restaurants,42.41732954,-83.14093448
Mc Donald's,18137 Joy Rd,Detroit,MI,48228,581208,Restaurants,42.3575269,-83.2172714
Mc Donald's,18201 Mack Ave,Detroit,MI,48236,581208,Restaurants,42.4094085,-82.9144813
Mc Donald's,18403 Grand River Ave,Detroit,MI,48223,581208,Restaurants,42.40269095,-83.22348166
Mc Donald's,19840 Van Dyke St,Detroit,MI,48234,581208,Restaurants,42.4407894,-83.023929
Mc Donald's,20405 Conant St,Detroit,MI,48234,581208,Restaurants,42.44526651,-83.08265283
Mc Donald's,21640 Grand River Ave,Detroit,MI,48219,581208,Restaurants,42.41577154,-83.25556088
Mc Donald's,22021 W 8 Mile Rd,Detroit,MI,48219,581208,Restaurants,42.44310617,-83.26028154
Mc Donald's,2889 W Grand Blvd,Detroit,MI,48202,581208,Restaurants,42.3679584,-83.0808994
Mc Donald's,4200 Conner St,Detroit,MI,48215,581208,Restaurants,42.385261,-82.9682745
Mc Donald's,4235 Woodward Ave,Detroit,MI,48201,581208,Restaurants,42.3520112,-83.0616426
Mc Donald's,6003 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants,42.3157942,-83.1060281
Mc Donald's,6876 Michigan Ave,Detroit,MI,48210,581208,Restaurants,42.33121904,-83.12899237
Mc Donald's,8825 E Jefferson Ave,Detroit,MI,48214,581208,Restaurants,42.35645198,-82.98776556
Mc Donald's,9815 Grand River Ave,Detroit,MI,48204,581208,Restaurants,42.36865457,-83.13901722
Me & My Girls Soul Food,11831 E 7 Mile Rd,Detroit,MI,48205,581208,Restaurants,42.43457709,-83.00223352
Mercury Burger Bar,2163 Michigan Ave,Detroit,MI,48216,581208,Restaurants,42.3311243,-83.0761349
Mexican Village Restaurant,2600 Bagley St,Detroit,MI,48216,581208,Restaurants,42.32552461,-83.07805528
Noodles & Company,777 Woodward Ave,Detroit,MI,48226,581208,Restaurants,42.33146267,-83.04689703
P F Chang's China Bistro,1 Detroit Metro Airport,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Panda Express,5221 Gullen Mall,Detroit,MI,48202,581208,Restaurants,42.37478762,-83.07771982
Panera Bread,300 Renaissance Ctr,Detroit,MI,48243,581208,Restaurants,42.33014385,-83.03952434
Papa John's Pizza,18472 Livernois Ave,Detroit,MI,48221,581222,Pizza,42.42700369,-83.14120413
Papa John's Pizza,19001 Mack Ave,Detroit,MI,48236,581222,Pizza,42.4162945,-82.9113025
Paradise Chop Suey,9333 Grand River Ave,Detroit,MI,48204,581208,Restaurants,42.36586894,-83.13211216
Park Shelton Pizza,15 E Kirby St,Detroit,MI,48202,581222,Pizza,42.3602538,-83.0661325
Parks Old Style Bar B Que,7444 Beaubien St,Detroit,MI,48202,581224,Barbecue Restaurant,42.37353174,-83.06811186
Pizza Hut,16835 E Warren Ave,Detroit,MI,48224,581222,Pizza,42.405361,-82.9324923
Pizza Hut,2600 E 8 Mile Rd,Detroit,MI,48234,581222,Pizza,42.44701701,-83.07663604
Pizza Hut,8939 W 7 Mile Rd,Detroit,MI,48221,581222,Pizza,42.43127629,-83.15992957
Popeyes Louisiana Kitchen,,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Popeyes Louisiana Kitchen,12218 E Warren Ave,Detroit,MI,48215,581208,Restaurants,42.38951198,-82.9750788
Popeyes Louisiana Kitchen,14180 Gratiot Ave,Detroit,MI,48205,581208,Restaurants,42.4338084,-82.9779497
Popeyes Louisiana Kitchen,14300 Livernois Ave,Detroit,MI,48238,581208,Restaurants,42.3930943,-83.1393305
Popeyes Louisiana Kitchen,16701 Harper Ave,Detroit,MI,48224,581208,Restaurants,42.41410494,-82.94033353
Popeyes Louisiana Kitchen,16900 Meyers Rd,Detroit,MI,48235,581208,Restaurants,42.41460901,-83.16992315
Popeyes Louisiana Kitchen,17700 Grand River Ave,Detroit,MI,48227,581208,Restaurants,42.39990741,-83.21608764
Popeyes Louisiana Kitchen,20919 W 8 Mile Rd,Detroit,MI,48219,581208,Restaurants,42.44336582,-83.25025423
Potbelly Sandwich Shop,1 Detroit Metro Airport,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Potbelly Sandwich Shop,300 Renaissance Ctr # 1304,Detroit,MI,48243,581208,Restaurants,42.33014385,-83.03952434
Potbelly Sandwich Shop,777 Woodward Ave # 150,Detroit,MI,48226,581208,Restaurants,42.33146267,-83.04689703
Punch Bowl Social,1331 Broadway St,Detroit,MI,48226,581208,Restaurants,42.33481175,-83.04611013
Red Robin Gourmet Burgers,18650 Ford Rd,Detroit,MI,48228,581208,Restaurants,42.3293275,-83.2220564
Ruby Tuesday,1 Detroit Metro Airport,Detroit,MI,48242,581208,Restaurants,42.21209836,-83.35168415
Salsaritas Fresh Mexican Grill,100 Renaissance Ctr,Detroit,MI,48243,581208,Restaurants,42.32948284,-83.04117049
Shake Shack,660 Woodward Ave # 2,Detroit,MI,48226,581208,Restaurants,42.330982,-83.0453888
Smokie's BBQ & Catering,10230 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants,42.43141725,-83.16346263
Sonny's Hamburgers,20001 Schoolcraft,Detroit,MI,48223,581208,Restaurants,42.3859572,-83.2371666
