Company Name,Address,City,State,Zip,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description,Record Type
1701 Executive Cigar Bar,140 Cadillac Sq,Detroit,MI,48226,599301,Cigar Cigarette & Tobacco Dealers-Retail,599301,Cigar Cigarette & Tobacco Dealers-Retail,Verified
234 Winder Street Inn,234 Winder St,Detroit,MI,48201,701107,Bed & Breakfast Accommodations,701107,Bed & Breakfast Accommodations,Verified
3rd Street Bar,4626 3rd St,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Abick's Bar,3500 Gilbert St,Detroit,MI,48210,581301,Bars,581301,Bars,Verified
Adam's Apple,18931 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
Alaskan Bar,7627 Michigan Ave,Detroit,MI,48210,581301,Bars,581301,Bars,Verified
Amore Da Roma,3401 Riopelle St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,Verified
Anchor Bar,450 W Fort St # 100,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Andrews On The Corner,201 Joseph Campau St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,Verified
Another Friendly Bar,2500 Park Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Applebee's,2111 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants,581208,Restaurants,Verified
Applebee's,333 E Jefferson Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Axis Lounge,1777 3rd St # Mgmgrand,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Bad Luck Bar,1218 Griswold St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Baker's Keyboard Lounge,20510 Livernois Ave,Detroit,MI,48221,581304,Night Clubs,581304,Night Clubs,Verified
Banko's Lounge,14168 Wyoming St,Detroit,MI,48238,864108,Clubs,864108,Clubs,Verified
Berts Marketplace,2727 Russell St,Detroit,MI,48207,581301,Bars,581301,Bars,Verified
Big City Bar & Grill,1020 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Bigalora A Checkpoint,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,Verified
Billeo's,19164 Kelly Rd,Detroit,MI,48224,581301,Bars,581301,Bars,Verified
Bleu Room Experience Inc,1540 Woodward Ave,Detroit,MI,48226,864108,Clubs,864108,Clubs,Verified
Bookie's Grill,2208 Cass Ave,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,Verified
Bookies's Ham & Soul,23636 Grand River Ave,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
Brass Rail,18 W Adams Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Briggs Detroit,519 E Jefferson Ave,Detroit,MI,48226,653118,Real Estate,653118,Real Estate,Verified
Bronx Cafe,4476 2nd Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Bud Bar,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,Verified
Buffalo Wild Wings Grill & Bar,1218 Randolph St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Buhl Bar,1117 Griswold St # 1416,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Cardoni's Bar & Grill,6615 Greenfield Rd,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
Cas Bar,7800 Michigan Ave,Detroit,MI,48210,581301,Bars,581301,Bars,Verified
Casey's Bar,7677 Dix St,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Centaur,2233 Park Ave # 1a,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Chapeau Vert Lounge,16550 Telegraph Rd,Detroit,MI,48219,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Checker Bar & Grill,124 Cadillac Sq,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Chevelle's Bar & Grill,19339 Schoolcraft,Detroit,MI,48223,581301,Bars,581301,Bars,Verified
Chick's Bar,18550 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
Chili's Grill & Bar,5707 Southfield Fwy,Detroit,MI,48228,581208,Restaurants,581208,Restaurants,Verified
City Limits Bar & Grill,24501 Grand River Ave,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
Coliseum Adult Entertainment,11300 E 8 Mile Rd,Detroit,MI,48205,581301,Bars,581301,Bars,Verified
Coogan's Bar Inc,5890 W Vernor Hwy,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Cork Town Tavern,1798 Wabash St # C,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Corktown Tavern,1716 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Corner Pocket Lounge,7304 Saint John St,Detroit,MI,48210,581301,Bars,581301,Bars,Verified
Cornerstone Barrel House,1456 Woodward Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Cutters Bar & Grill,2638 Orleans St,Detroit,MI,48207,581208,Restaurants,581208,Restaurants,Verified
D Hill Enterprises LLC,7741 Grand River Ave,Detroit,MI,48204,581301,Bars,581301,Bars,Verified
Delux Lounge,350 Monroe St,Detroit,MI,48226,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Detroit City Distillery LLC,2462 Riopelle St,Detroit,MI,48207,518205,Distillery Equipment & Supplies (Whls),518205,Distillery Equipment & Supplies (Whls),Verified
Detroit Recovery Project,1145 W Grand Blvd,Detroit,MI,48208,808201,Home Health Service,808201,Home Health Service,Verified
Detroit Sapphire,19211 Van Dyke St,Detroit,MI,48234,581301,Bars,581301,Bars,Verified
Detroit Sport & Social Club,2631 Woodward Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Detroiter Bar,655 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
District,150 W Jefferson Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Donovan's Pub,3003 W Vernor Hwy,Detroit,MI,48216,581208,Restaurants,581208,Restaurants,Verified
Dudes & Davis,18325 W Mcnichols Rd,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
El Capri Bar,1673 E Grand Blvd,Detroit,MI,48211,581301,Bars,581301,Bars,Verified
Elwood Bar & Grill,300 E Adams Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Epic Detroit,408 W Congress St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Evolution,1314 Broadway St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Feelgood Tap,1400 Porter St,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Fire Water Bar & Grill,16801 Harper Ave,Detroit,MI,48224,581208,Restaurants,581208,Restaurants,Verified
Firebird Tavern,419 Monroe St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Firewater Bar & Grill,6521 John R St,Detroit,MI,48202,581208,Restaurants,581208,Restaurants,Verified
Flood's Bar & Grill,731 Saint Antoine St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Friends Cocktail Lounge,21633 W 8 Mile Rd,Detroit,MI,48219,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Gibson Food Market & Lounge,12918 Puritan St,Detroit,MI,48227,514101,Food Products (Whls),514101,Food Products (Whls),Verified
Gigi's,16920 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
Giordano's,1224 Randolph St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Gold Coast Club,2971 E 7 Mile Rd,Detroit,MI,48234,581301,Bars,581301,Bars,Verified
Grand Trunk Pub,612 Woodward Ave,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Granite City Food & Brewery,100 Renaissance Ctr # 1101,Detroit,MI,48243,581208,Restaurants,581208,Restaurants,Verified
Green Dot Stables,2200 W Lafayette Blvd,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Greenwich Times,130 Cadillac Sq,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Happy Bar,1247 N Green St,Detroit,MI,48209,651202,Office Buildings & Parks,651202,Office Buildings & Parks,Verified
Hard Rock Cafe,45 Monroe St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Harry's Detroit,2482 Clifford St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,Verified
Hayloft Saloon,8070 Greenfield Rd,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
Heck's Bar,20005 Van Dyke St,Detroit,MI,48234,581301,Bars,581301,Bars,Verified
Hopcat,4265 Woodward Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
I P Ent & Inuendo Night Club,744 E Savannah St,Detroit,MI,48203,581301,Bars,581301,Bars,Verified
Jacoby's German Biergarten,624 Brush St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Jumbo's Bar,3736 3rd St,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
KLAW,23636 Grand River Ave,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
Kwicky Bar,4130 E 8 Mile Rd,Detroit,MI,48234,581301,Bars,581301,Bars,Verified
L J's Lounge,2114 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
L's Sweethart Bar,2114 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
LA Dolce Vita,17546 Woodward Ave,Detroit,MI,48203,581301,Bars,581301,Bars,Verified
LA Nena's,8600 W Vernor Hwy,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Linda Bonneys Bar & Grille,17175 Harper Ave,Detroit,MI,48224,581208,Restaurants,581208,Restaurants,Verified
Liv Resto Lounge,641 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Locker Room Bar,19290 Livernois Ave,Detroit,MI,48221,581301,Bars,581301,Bars,Verified
Locker Room Lounge,18290 Livernois Ave,Detroit,MI,48221,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Lovin Life,19956 James Couzens Fwy,Detroit,MI,48235,735910,Rental Service-Stores & Yards,735910,Rental Service-Stores & Yards,Verified
Lucky Lounge,15146 Gratiot Ave,Detroit,MI,48205,581301,Bars,581301,Bars,Verified
Marble Bar,1501 Holden St,Detroit,MI,48208,581304,Night Clubs,581304,Night Clubs,Verified
Mc Shane's Irish Pub-Whiskey,1460 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Menjo's,928 W Mcnichols Rd,Detroit,MI,48203,581301,Bars,581301,Bars,Verified
Metro Pub,1234 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Mix Brick Town,641 Beaubien St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Motor Bar,1114 Washington Blvd,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Msue Chirp,2727 2nd Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Mutiny Bar,4654 W Vernor Hwy,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Mytown Lounge,2281 W Fort St,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Nancy Whiskey Pub,2644 Harrison St,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Nemo's Kitchen,1384 Michigan Ave,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Nikki's Place,17200 Harper Ave,Detroit,MI,48224,581301,Bars,581301,Bars,Verified
Nite Cap Lounge,24817 W Mcnichols Rd,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
Northern Lights Lounge,660 W Baltimore St,Detroit,MI,48202,581301,Bars,581301,Bars,Verified
Old Miami,3930 Cass Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Old Shillelagh,349 Monroe St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
On The Town Riddles,1001 Woodward Ave # 5th,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
P P H Lounge,11526 Portlance St,Detroit,MI,48205,581301,Bars,581301,Bars,Verified
Panos Restaurant Inc,404 W Congress St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
Pappy's Sports Bar & Grill,517 Monroe St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Paris Bar & Niteclub,1346 Broadway St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Park Bar,2040 Park Ave,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Peterboro,420 Peterboro St,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,Verified
Pj's Lager House,1254 Michigan Ave,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Player's,13710 E 8 Mile Rd,Detroit,MI,48205,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Po Billy Enterprises,19430 W Warren Ave,Detroit,MI,48228,581301,Bars,581301,Bars,Verified
PV Lounge,1435 Randolph St,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Queens Bar,35 Grand River Ave,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Raven Lounge & Restaurant,5145 Chene St,Detroit,MI,48211,581208,Restaurants,581208,Restaurants,Verified
Roseland Bar & Grill,18401 W 8 Mile Rd,Detroit,MI,48219,581301,Bars,581301,Bars,Verified
Sidekicks Saloon,7023 Chatfield St,Detroit,MI,48209,581301,Bars,581301,Bars,Verified
Slapshotz Bar & Grill,1 Detroit Metro Airport,Detroit,MI,48242,581301,Bars,581301,Bars,Verified
Standby,225 Gratiot Ave # 100,Detroit,MI,48226,581301,Bars,581301,Bars,Verified
Star Life Bar & Grille,18300 W 7 Mile Rd,Detroit,MI,48219,581208,Restaurants,581208,Restaurants,Verified
Starr Hookah,20655 Grand River Ave,Detroit,MI,48219,581255,Hookah Bars & Lounges,581255,Hookah Bars & Lounges,Verified
Starter's Lounge,18426 Plymouth Rd,Detroit,MI,48228,581208,Restaurants,581208,Restaurants,Verified
Starters Bar & Grill,4501 Woodward Ave,Detroit,MI,48201,581208,Restaurants,581208,Restaurants,Verified
Stinger's Lounge,19404 Sherwood St,Detroit,MI,48234,581301,Bars,581301,Bars,Verified
Studio 51,1995 Woodbridge St,Detroit,MI,48207,581301,Bars,581301,Bars,Verified
Sugar House,2130 Michigan Ave,Detroit,MI,48216,581301,Bars,581301,Bars,Verified
Sweet Water Tavern,16909 Harper Ave,Detroit,MI,48224,581301,Bars,581301,Bars,Verified
Sweetwater Tavern,400 E Congress St,Detroit,MI,48226,581208,Restaurants,581208,Restaurants,Verified
T V Lounge,2548 Grand River Ave,Detroit,MI,48201,581303,Cocktail Lounges,581303,Cocktail Lounges,Verified
Tap,1777 3rd St # Mgmgrand,Detroit,MI,48226,799302,Casinos,799302,Casinos,Verified
Temple Bar,2906 Cass Ave,Detroit,MI,48201,581301,Bars,581301,Bars,Verified
Temptation,8203 W Chicago,Detroit,MI,48204,864108,Clubs,864108,Clubs,Verified
Teresa's Place,14000 W Mcnichols Rd,Detroit,MI,48235,581301,Bars,581301,Bars,Verified
TGI Friday's,1 Detroit Metro Airport # N-18,Detroit,MI,48242,581208,Restaurants,581208,Restaurants,Verified
Thomas Magee's,1412 E Fisher Fwy,Detroit,MI,48207,581301,Bars,581301,Bars,Verified
Tippin In Lounge,18430 Mount Elliott St,Detroit,MI,48234,581208,Restaurants,581208,Restaurants,Verified
