Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description,SIC Code 1,SIC Code 1 Description
1701 Express Inc,1701 E Grand Blvd,Detroit,MI,48211,554101,Service Stations-Gasoline & Oil,554101,Service Stations-Gasoline & Oil
7-Eleven,139 Cadillac Sq,Detroit,MI,48226,541103,Convenience Stores,541103,Convenience Stores
7-Eleven,2660 E Jefferson Ave,Detroit,MI,48207,541103,Convenience Stores,541103,Convenience Stores
A & A Food Mart,14600 W Chicago St,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
A & A Tire Shop,7495 Greenfield Rd,Detroit,MI,48228,553123,Tire-Dealers-Retail,553123,Tire-Dealers-Retail
A & W Food Ctr,13016 Mack Ave,Detroit,MI,48215,541105,Grocers-Retail,541105,Grocers-Retail
A A Auto Sales,7499 Greenfield Rd,Detroit,MI,48228,551103,Automobile Dealers-Used Cars,551103,Automobile Dealers-Used Cars
Abir Dollar Plus,18200 Plymouth Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Adalupana Mkt Gualalup,6680 Michigan Ave,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Ahmed Groceries,12460 Conant St,Detroit,MI,48212,541105,Grocers-Retail,541105,Grocers-Retail
Al Hussein Supermarket Inc,6735 Greenfield Rd,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Al-Naimi Enterprises Inc,3431 Joy Rd,Detroit,MI,48206,541105,Grocers-Retail,541105,Grocers-Retail
ALDI,14708 Mack Ave,Detroit,MI,48215,541105,Grocers-Retail,541105,Grocers-Retail
ALDI,15415 Gratiot Ave,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail
Algo Especial Super Mercado,2628 Bagley St,Detroit,MI,48216,541105,Grocers-Retail,541105,Grocers-Retail
Americana Foods,15041 Plymouth Rd,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Amori's Market Place,1404 E Jefferson Ave,Detroit,MI,48207,592102,Liquors-Retail,592102,Liquors-Retail
Angelinas Market,5604 Florida St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Apollo Market,20250 W 7 Mile Rd,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail
Arova Dollar & More,15144 Grand River Ave,Detroit,MI,48227,533101,Variety Stores,533101,Variety Stores
Athens Grocery Co,579 Monroe St,Detroit,MI,48226,592102,Liquors-Retail,592102,Liquors-Retail
Athens Liquor Store,579 Monroe St,Detroit,MI,48226,541105,Grocers-Retail,541105,Grocers-Retail
Atlas Market,2645 W Davison,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail
Azteca Supermercado,2411 Central St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
Baker's Keyboard Lounge,20510 Livernois Ave,Detroit,MI,48221,581304,Night Clubs,581304,Night Clubs
Bana Food Mart & Fuels,3561 Mount Elliott St,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail
Bangla Town,3611 Carpenter St,Detroit,MI,48212,541105,Grocers-Retail,541105,Grocers-Retail
Banner Supermarket,14424 Schaefer Hwy,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Barakah Grocery,17007 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Barakah Poultry,17007 W Warren Ave,Detroit,MI,48228,549907,Poultry-Retail,549907,Poultry-Retail
Big Apple Fruit & Deli,7335 Mcgraw St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Big Jhons Party Store,15050 Puritan St,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Blue Light Market,8844 Mack Ave,Detroit,MI,48214,541105,Grocers-Retail,541105,Grocers-Retail
Boulevard Market,2699 W Grand Blvd,Detroit,MI,48208,541105,Grocers-Retail,541105,Grocers-Retail
Buchanan Market,5716 Buchanan St,Detroit,MI,48210,541105,Grocers-Retail,541105,Grocers-Retail
Checkers Drugs & Food,20650 Fenkell St,Detroit,MI,48223,541105,Grocers-Retail,541105,Grocers-Retail
Chene & Trombley Market,3700 Holborn St,Detroit,MI,48211,541105,Grocers-Retail,541105,Grocers-Retail
Chene Trombly Market,3700 E Edsel Ford Fwy,Detroit,MI,48211,541105,Grocers-Retail,541105,Grocers-Retail
Chesterfield Food Market,2200 W Davison,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail
Chitterling Cleaners Inc,15724 W 7 Mile Rd,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail
City Market,575 Brush St,Detroit,MI,48226,541105,Grocers-Retail,541105,Grocers-Retail
D & L Liquor Shop,13325 Livernois Ave # A,Detroit,MI,48238,592102,Liquors-Retail,592102,Liquors-Retail
Del Point Food Ctr,16700 Harper Ave,Detroit,MI,48224,541105,Grocers-Retail,541105,Grocers-Retail
Delta Market Place Inc,10848 W 7 Mile Rd,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail
Dexter Grocery & Gas Inc,11301 Dexter Ave,Detroit,MI,48206,541105,Grocers-Retail,541105,Grocers-Retail
Diamond Dot,19457 Mound Rd,Detroit,MI,48234,541105,Grocers-Retail,541105,Grocers-Retail
Dobry Super Market,2351 Junction St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
E & L Supermercado,6000 W Vernor Hwy,Detroit,MI,48209,549927,Mexican & Latin American Food Products,549927,Mexican & Latin American Food Products
El Popo,3438 Bagley St,Detroit,MI,48216,729941,Shopping Service-Personal,729941,Shopping Service-Personal
Elalteno,1346 Lawndale St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
Eve's Downtown Gourmet,1411 Washington Blvd,Detroit,MI,48226,541105,Grocers-Retail,541105,Grocers-Retail
Evergreen Market,8048 Evergreen Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Fair Line Food Ctr,16520 W Warren Ave,Detroit,MI,48228,541105,Grocers-Retail,541105,Grocers-Retail
Family Food Super Store,8665 Rosa Parks Blvd,Detroit,MI,48206,541105,Grocers-Retail,541105,Grocers-Retail
Farm Market Wholesale,6170 Toledo St,Detroit,MI,48209,509223,Wholesalers,509223,Wholesalers
Farmer John Food Ctr,9731 Harper Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail
Farmer Kay,24311 W Mcnichols Rd,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail
Farmers Food Ctr,2411 Central St,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail
Fftp F,14629 Snowden St,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Food 4 Less,14020 Grand River Ave,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Food Giant,14040 Greenfield Rd,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail
Food Pride Supermarket,500 E Warren Ave,Detroit,MI,48201,541105,Grocers-Retail,541105,Grocers-Retail
Foster Market,14800 Wyoming St,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail
Four J's Market,15291 E 7 Mile Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail
Galaxy Food Ctr,16120 Telegraph Rd,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail
Gigante Prince Valley,5931 Michigan Ave,Detroit,MI,48210,531104,Retail Shops,531104,Retail Shops
Glory Supermarket,12230 E 8 Mile Rd,Detroit,MI,48205,541105,Grocers-Retail,541105,Grocers-Retail
Glory Supermarket,8000 W Outer Dr # 1,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail
