Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description
6 & Lodge Liquor,12730 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
A & A Party Place,11901 Gratiot Ave,Detroit,MI,48213,592102,Liquors-Retail
A & L Market,10826 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail
AAA Liquor Store,13023 E Warren Ave,Detroit,MI,48215,592102,Liquors-Retail
Abby's Party Store,6509 Michigan Ave,Detroit,MI,48210,592102,Liquors-Retail
ABC Liquor Store,8024 Greenfield Rd,Detroit,MI,48228,592102,Liquors-Retail
Action Market III,14234 Puritan St,Detroit,MI,48227,592102,Liquors-Retail
Al Pisa Liquor,13900 Meyers Rd,Detroit,MI,48227,592102,Liquors-Retail
Aladdin Beverage,19100 Van Dyke St,Detroit,MI,48234,514937,Beverages (Whls)
Amori's Market Place,1404 E Jefferson Ave,Detroit,MI,48207,592102,Liquors-Retail
Amouri's Grand Foods,7225 E Jefferson Ave,Detroit,MI,48214,592102,Liquors-Retail
Angie's Beer & Wine,8441 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail
Aston Liquor,17741 Schoolcraft,Detroit,MI,48223,592102,Liquors-Retail
Athens Grocery Co,579 Monroe St,Detroit,MI,48226,592102,Liquors-Retail
Athens Liquor Store,579 Monroe St,Detroit,MI,48226,541105,Grocers-Retail
Baileys Liquor,13940 Dexter Ave,Detroit,MI,48238,592102,Liquors-Retail
Basil's Party Store,4515 Grand River Ave,Detroit,MI,48208,592102,Liquors-Retail
Bellacino's Pizza & Grinders,2867 E 7 Mile Rd,Detroit,MI,48234,581222,Pizza
Bellagio Liquor,12525 Mack Ave,Detroit,MI,48215,592102,Liquors-Retail
Bellagio Liquor Shoppe,24341 W 7 Mile Rd,Detroit,MI,48219,592104,Beer & Ale-Retail
Benchmark,15401 Joy Rd,Detroit,MI,48228,581208,Restaurants
Big Daddy,9100 Oakland St,Detroit,MI,48211,592102,Liquors-Retail
Big Daddy Liquor Store II,9191 Livernois Ave,Detroit,MI,48204,592102,Liquors-Retail
Big Daddy's Liquors,18551 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
Big Top Liquor,3888 W Warren Ave,Detroit,MI,48208,592102,Liquors-Retail
Blue Jay Market,15956 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail
Bond Liquor,12950 Fenkell St,Detroit,MI,48227,592102,Liquors-Retail
Brand Liquor Shoppe,6301 Mack Ave,Detroit,MI,48207,592102,Liquors-Retail
Brightmoore Liquor,22002 Lyndon St,Detroit,MI,48223,581208,Restaurants
Cadillac Food Plaza,111 Cadillac Sq,Detroit,MI,48226,592102,Liquors-Retail
Capitol Foods Inc,12220 Schaefer Hwy,Detroit,MI,48227,592102,Liquors-Retail
Carmen's Liquor,14650 Gratiot Ave,Detroit,MI,48205,541103,Convenience Stores
Ceasar's Liquor,18438 Van Dyke St,Detroit,MI,48234,592102,Liquors-Retail
Central Liquor,7106 W Warren Ave,Detroit,MI,48210,592102,Liquors-Retail
Central Market,20451 W 8 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Chalmers Plus Inc,11306 Chalmers St,Detroit,MI,48213,592102,Liquors-Retail
Cheers Party Store,12344 E 8 Mile Rd,Detroit,MI,48205,592102,Liquors-Retail
Chene Liquor,650 Chene St,Detroit,MI,48207,592102,Liquors-Retail
Cinderella Inc,7347 Puritan St,Detroit,MI,48238,592102,Liquors-Retail
Cognac Castle,15415 Harper Ave,Detroit,MI,48224,592102,Liquors-Retail
College Liquor Shoppe,15956 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail
Conant Party Store,19663 Conant St,Detroit,MI,48234,592102,Liquors-Retail
Convenience Store,15201 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Coonac Castle,15415 Harper Ave,Detroit,MI,48224,592102,Liquors-Retail
Crown Liquor,7120 W Mcnichols Rd,Detroit,MI,48221,592102,Liquors-Retail
Cru West Liquor,13970 Wyoming St,Detroit,MI,48238,592102,Liquors-Retail
D & D Liquorland,16233 Schoolcraft St,Detroit,MI,48227,592102,Liquors-Retail
D & L Liquor Shop,13325 Livernois Ave # A,Detroit,MI,48238,592102,Liquors-Retail
D Town Liquor II,8910 Puritan St,Detroit,MI,48238,592102,Liquors-Retail
D Town Liquor Shop,2597 Puritan St,Detroit,MI,48238,592102,Liquors-Retail
Detroit Liquor Store Inc,11414 Livernois Ave,Detroit,MI,48204,592102,Liquors-Retail
Devonshire Drugs,16003 Mack Ave,Detroit,MI,48224,592102,Liquors-Retail
Diamond Liquor Shop,20723 Plymouth Rd,Detroit,MI,48228,592102,Liquors-Retail
Dj's Liquor,5800 W Fort St,Detroit,MI,48209,592102,Liquors-Retail
Downtown Detroit Gas Station,1500 W Fort St,Detroit,MI,48216,541103,Convenience Stores
East Town Liquor,10520 E Jefferson Ave,Detroit,MI,48214,592102,Liquors-Retail
Eight Mile Liquor,17321 W 8 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Ewald Liquor & Spirt,3636 Ewald Cir,Detroit,MI,48204,592102,Liquors-Retail
Express Party Store,5347 Livernois Ave,Detroit,MI,48210,592102,Liquors-Retail
F & S Liquor Shop,9249 Mack Ave,Detroit,MI,48214,592102,Liquors-Retail
Fairlane Liquor Shop,18712 Ford Rd,Detroit,MI,48228,592102,Liquors-Retail
Farmer Zeek's Liquor Shop,13635 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Festival Party Shoppe,15660 Fenkell St,Detroit,MI,48227,592102,Liquors-Retail
Fielding Party Store,20501 Grand River Ave,Detroit,MI,48219,592102,Liquors-Retail
First Class Liquor Inc,13921 E Warren Ave,Detroit,MI,48215,592102,Liquors-Retail
Forest Liquor,4535 Trumbull St,Detroit,MI,48208,592102,Liquors-Retail
Frank's Liquor & Party Store,5878 W Vernor Hwy,Detroit,MI,48209,541103,Convenience Stores
Full House Market,6811 E Mcnichols Rd,Detroit,MI,48212,592102,Liquors-Retail
Glass Bottle,9450 Greenfield Rd,Detroit,MI,48228,592102,Liquors-Retail
Glass Bottle,9540 Greenfield Rd,Detroit,MI,48227,592102,Liquors-Retail
Glens Market,10000 W Chicago,Detroit,MI,48204,592102,Liquors-Retail
Good Stop Liquor,7446 W Mcnichols Rd,Detroit,MI,48221,592102,Liquors-Retail
Graham's Party Shop,15801 Plymouth Rd,Detroit,MI,48227,592102,Liquors-Retail
Grand House Of Liquor,17461 Telegraph Rd,Detroit,MI,48219,592102,Liquors-Retail
Grand Liquor Party Shop,3701 Joy Rd,Detroit,MI,48206,592102,Liquors-Retail
Grand Liquor Party Shop,9141 Dexter Ave,Detroit,MI,48206,592102,Liquors-Retail
Grand Value Liquor Inc,10920 Grand River Ave,Detroit,MI,48204,591205,Pharmacies
Gratiot Rigley Store,12278 Gratiot Ave,Detroit,MI,48205,592102,Liquors-Retail
Guilio's Market,21306 Schoolcraft,Detroit,MI,48223,592102,Liquors-Retail
Handy Liquor Store,12600 Gunston St,Detroit,MI,48205,592102,Liquors-Retail
Handy Spot,15900 E 8 Mile Rd,Detroit,MI,48205,592102,Liquors-Retail
Happy Four Party Store,1444 W Fort St,Detroit,MI,48216,594716,Party Supplies
Hayes Liquor Basket,11002 Hayes St,Detroit,MI,48213,592102,Liquors-Retail
Heyden Drug Store,20201 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Holiday House Wine Shop,11200 Morang Dr,Detroit,MI,48224,592102,Liquors-Retail
Hoover Market,19934 Hoover St,Detroit,MI,48205,592102,Liquors-Retail
House Of Liquor & Wine Shop,6290 Tireman St,Detroit,MI,48204,592102,Liquors-Retail
Ice Liquor,18750 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail
Ila's Liquor Shop ATM,13003 Gratiot Ave,Detroit,MI,48205,594716,Party Supplies
Imperial Party Shoppe,9743 Linwood St,Detroit,MI,48206,592102,Liquors-Retail
J & S Liquor,18244 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
J B Liquor Market,13207 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
J's Liquor Shoppe,15260 E 8 Mile Rd,Detroit,MI,48205,592102,Liquors-Retail
Jane's Market Party Store,7945 Charlevoix St,Detroit,MI,48214,592102,Liquors-Retail
Jazzy Liquor Store,1424 Woodward Ave,Detroit,MI,48226,592102,Liquors-Retail
Jm Liquor,20650 Fenkell St,Detroit,MI,48223,592102,Liquors-Retail
Joe's Liquor,2933 Russell St,Detroit,MI,48207,592102,Liquors-Retail
Joy Express,5835 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail
Joy Liquor Palace,20100 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
Junction Party Store,3260 Junction St,Detroit,MI,48210,592102,Liquors-Retail
K C Liquor,1370 S Oakwood,Detroit,MI,48217,592102,Liquors-Retail
K S M Mini Mart,2967 Woodward Ave,Detroit,MI,48201,541103,Convenience Stores
Kasey's Beer & Wine,16140 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
KAYS Korner Of Detroit,9820 Dickerson St,Detroit,MI,48213,592102,Liquors-Retail
Lance Liquor,13800 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail
Lanore Market,8716 Michigan Ave,Detroit,MI,48210,592102,Liquors-Retail
Leenas Enterprises Inc,5038 Mcdougall St,Detroit,MI,48211,592102,Liquors-Retail
Legend Liquor,8052 E 8 Mile Rd,Detroit,MI,48234,592102,Liquors-Retail
Liberty Pharmacy,4802 W Vernor Hwy,Detroit,MI,48209,592102,Liquors-Retail
Lindsay Liquor,17256 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Linwood Express,8929 Linwood St,Detroit,MI,48206,592102,Liquors-Retail
Linwood Liquor,12501 Linwood St,Detroit,MI,48206,592102,Liquors-Retail
Liquor Castle Inc,4233 Joy Rd,Detroit,MI,48204,592102,Liquors-Retail
Liquor Express,7420 W 7 Mile Rd,Detroit,MI,48221,592102,Liquors-Retail
Liquor Island Market,17342 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail
Liquor Palace,20078 Livernois Ave,Detroit,MI,48221,592102,Liquors-Retail
Liquor Plus,2906 W Grand Blvd,Detroit,MI,48202,592102,Liquors-Retail
Livernois Mcgraw Party Store,5545 Livernois Ave,Detroit,MI,48210,592102,Liquors-Retail
Luxor Liquor,10425 W Mcnichols Rd,Detroit,MI,48221,592102,Liquors-Retail
Lynch Liquor,10234 Van Dyke St,Detroit,MI,48234,592104,Beer & Ale-Retail
Mack Bewick Market-Munaco Mkt,10300 Mack Ave,Detroit,MI,48214,592102,Liquors-Retail
Mack-Bewick Munaco Super Mkt,1050 Clay St,Detroit,MI,48211,592102,Liquors-Retail
Market Street,1050 Clay St,Detroit,MI,48211,592102,Liquors-Retail
Marks Party Store,5354 Tireman St,Detroit,MI,48204,592102,Liquors-Retail
Maryland Liquor Shop Inc,15015 Mack Ave,Detroit,MI,48224,592102,Liquors-Retail
Mcdonnell Drugs,16636 Harper Ave,Detroit,MI,48224,592102,Liquors-Retail
Mega Liquor,17200 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
Michaels Liquor Store,17951 John R St,Detroit,MI,48203,592102,Liquors-Retail
Michigan Liquor,5422 Michigan Ave,Detroit,MI,48210,592102,Liquors-Retail
Midtown Liquor & Deli,4161 Woodward Ave,Detroit,MI,48201,737206,Computer Software
Mirage Communication,13887 Gratiot Ave,Detroit,MI,48205,592102,Liquors-Retail
Miramar Market,18225 Schaefer Hwy,Detroit,MI,48235,592102,Liquors-Retail
Moore Liquor,5510 E 7 Mile Rd,Detroit,MI,48234,592102,Liquors-Retail
Motor City Market,20500 Plymouth Rd,Detroit,MI,48228,592102,Liquors-Retail
Motown Food & Liquor,18910 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
N & R Liquor Inc,18320 W Chicago St,Detroit,MI,48228,592102,Liquors-Retail
New Center Liquor Store,7400 Woodward Ave,Detroit,MI,48202,592102,Liquors-Retail
Newport Party Store,14201 Harper Ave,Detroit,MI,48213,592102,Liquors-Retail
Norm's Liquor Express Inc,3401 Grand River Ave,Detroit,MI,48208,592102,Liquors-Retail
Northland Party Store Inc,18245 W 8 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Northwest Store Inc,20447 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Omni Food & Beverage Inc,14701 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
One Stop Liquor,8536 Linwood St,Detroit,MI,48206,592102,Liquors-Retail
Packard Liquor Store,1481 E Grand Blvd,Detroit,MI,48211,592102,Liquors-Retail
Palace Plaza,6416 E Jefferson Ave,Detroit,MI,48207,592102,Liquors-Retail
Palms Liquor,6324 Gratiot Ave,Detroit,MI,48207,592102,Liquors-Retail
Papa Sam's Food & Liquor Inc,14622 E Warren Ave,Detroit,MI,48215,592102,Liquors-Retail
Paradise Food & Liquor,20535 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
Park Lane Cork & Bottle Shoppe,19150 W Mcnichols Rd,Detroit,MI,48219,592102,Liquors-Retail
Parkside Market,12400 E Warren Ave,Detroit,MI,48215,592102,Liquors-Retail
Party Center,3940 E Outer Dr,Detroit,MI,48234,592102,Liquors-Retail
Party Plus Market,9924 Wyoming St,Detroit,MI,48204,592102,Liquors-Retail
Piccadilly Party Shop,14100 E 8 Mile Rd,Detroit,MI,48205,594716,Party Supplies
Pied Piper Market,16215 Livernois Ave,Detroit,MI,48221,592102,Liquors-Retail
Pik-A-Snak Party Shoppe,4607 E 7 Mile Rd,Detroit,MI,48234,592102,Liquors-Retail
Players Liquor,13555 W Chicago St,Detroit,MI,48228,592102,Liquors-Retail
Plymouth Express,10450 Plymouth Rd,Detroit,MI,48204,421205,Delivery Service
Plymouth Liquor,18531 Plymouth Rd,Detroit,MI,48228,592102,Liquors-Retail
Pony Keg Wine Shop,17900 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail
Prestige Liquor,8045 Linwood St,Detroit,MI,48206,592102,Liquors-Retail
Prince Liquor,9963 Gratiot Ave,Detroit,MI,48213,592102,Liquors-Retail
Princess Superette Market,16342 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
Puritan Liquor,16046 Puritan St,Detroit,MI,48227,592102,Liquors-Retail
Randy's Market,18054 Mount Elliott St,Detroit,MI,48234,592102,Liquors-Retail
Regal Spirit,21741 Fenkell St,Detroit,MI,48223,592102,Liquors-Retail
Right Stop,11710 E Mcnichols Rd,Detroit,MI,48205,592102,Liquors-Retail
Riviera Discount House,9311 Grand River Ave,Detroit,MI,48204,592102,Liquors-Retail
Rosedale Party Store,18151 W Mcnichols Rd,Detroit,MI,48219,592102,Liquors-Retail
Sam's Food New M R,7459 Joy Rd,Detroit,MI,48204,541104,Food Products-Retail
Santa Barbara Market,7700 W Mcnichols Rd,Detroit,MI,48221,592102,Liquors-Retail
Savaya Bros Liquor Store,19441 Plymouth Rd,Detroit,MI,48228,592102,Liquors-Retail
Savaya Liquor,20441 James Couzens Fwy,Detroit,MI,48235,592102,Liquors-Retail
Schoolcraft,19300 Schoolcraft,Detroit,MI,48223,592102,Liquors-Retail
Scotty J Liquor Shoppe,20840 W Chicago St,Detroit,MI,48228,592102,Liquors-Retail
Selena Liquor Lane,12333 Rosa Parks Blvd,Detroit,MI,48206,592102,Liquors-Retail
Semma Liquor Shop,19345 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail
Serv-U-Well,16945 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail
Sesi Liquor Stone Inc,9820 Dickerson St,Detroit,MI,48213,592102,Liquors-Retail
Seven Mile Kennedy Liquor,13344 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Seven Van Party Store,7705 E 7 Mile Rd,Detroit,MI,48234,592102,Liquors-Retail
Shop N Save Liquor,7347 Puritan St,Detroit,MI,48238,592102,Liquors-Retail
Shorty's Liquor Store,12840 E 7 Mile Rd,Detroit,MI,48205,592102,Liquors-Retail
Spot Lite Liquor,16210 Grand River Ave,Detroit,MI,48227,592102,Liquors-Retail
Spotlight Liquor,24300 W Mcnichols Rd,Detroit,MI,48219,592102,Liquors-Retail
Springwell Liquor,1848 Springwells St,Detroit,MI,48209,592102,Liquors-Retail
Starlight Liquor Store,10544 Fenkell St,Detroit,MI,48238,592102,Liquors-Retail
Stop & Go Deli,14445 Schaefer Hwy,Detroit,MI,48227,592102,Liquors-Retail
Stop N Go Deli,3205 W Mcnichols Rd,Detroit,MI,48221,541103,Convenience Stores
Sunset Liquors,3600 Gratiot Ave,Detroit,MI,48207,592102,Liquors-Retail
Sunshine Liquor Plus,3300 Joy Rd,Detroit,MI,48206,592102,Liquors-Retail
Sunshine Liquor Shoppe,15349 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
Sunshine Market,14812 Livernois Ave,Detroit,MI,48238,592102,Liquors-Retail
Super Star Liquor,15038 Houston Whittier St,Detroit,MI,48205,592102,Liquors-Retail
Superior Liquor Inc,10345 W 8 Mile Rd,Detroit,MI,48221,592102,Liquors-Retail
Supreme Liquor Shop Inc,18942 Hayes St,Detroit,MI,48205,592102,Liquors-Retail
Telkaif Party Store,15935 W 7 Mile Rd,Detroit,MI,48235,592102,Liquors-Retail
Three Brothers Party Store,19540 Joy Rd,Detroit,MI,48228,592102,Liquors-Retail
Thrifty Liquor Plus,3300 Joy Rd,Detroit,MI,48206,592102,Liquors-Retail
Tiger Liquor,10832 Puritan St,Detroit,MI,48238,592102,Liquors-Retail
Trade Fair Market,3406 Fenkell St,Detroit,MI,48238,592102,Liquors-Retail
United Party Shoppe,22040 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Universal Liquor & Wine,19526 Grand River Ave,Detroit,MI,48223,592102,Liquors-Retail
University Village Market,4700 Anthony Wayne Dr,Detroit,MI,48201,592102,Liquors-Retail
Uptown Food & Liquor,18201 W 7 Mile Rd,Detroit,MI,48219,592102,Liquors-Retail
Van Dyke Market,6455 Van Dyke St,Detroit,MI,48213,592102,Liquors-Retail
Vandyke Liquor,6455 Van Dyke St,Detroit,MI,48213,592102,Liquors-Retail
Vanity Liquor Shop,20516 Schaefer Hwy,Detroit,MI,48235,592102,Liquors-Retail
Vaughan Liquor Inc,20050 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail
Vegas Liquor & Wine Shop,8024 Greenfield Rd,Detroit,MI,48228,592102,Liquors-Retail
Vernor Express Liquor Store,3855 W Vernor Hwy,Detroit,MI,48216,592102,Liquors-Retail
Vernor Liquor Inc,5878 W Vernor Hwy,Detroit,MI,48209,592102,Liquors-Retail
Victory Liquor & Food Store,16200 W Warren Ave,Detroit,MI,48228,592102,Liquors-Retail
Village Liquor & Deli,14241 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
Village Liquor Shoppe,19024 Grand River Ave,Detroit,MI,48223,592102,Liquors-Retail
Vince's Food Ctr Inc,2601 E Mcnichols Rd,Detroit,MI,48212,592102,Liquors-Retail
VIP Liquor,14050 Joseph Campau St,Detroit,MI,48212,592102,Liquors-Retail
Von's Express,7350 Grand River Ave,Detroit,MI,48204,592102,Liquors-Retail
Von's Market,14918 Greenfield Rd,Detroit,MI,48227,592102,Liquors-Retail
Vsop Liquor,10715 W 8 Mile Rd,Detroit,MI,48221,592102,Liquors-Retail
Western Liquor Store,12820 Plymouth Rd,Detroit,MI,48227,592102,Liquors-Retail
Whiskey Whiskey,1000 Maple St,Detroit,MI,48207,592102,Liquors-Retail
Wine Basket Party Shop,16450 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail
Winthrop & Six Market,15619 W Mcnichols Rd,Detroit,MI,48235,592102,Liquors-Retail
Wood's Liquor Shop,16146 Plymouth Rd,Detroit,MI,48227,592102,Liquors-Retail
Woodmere Party Store,9210 W Fort St,Detroit,MI,48209,592102,Liquors-Retail
Yaldo Party Store,15500 E Warren Ave,Detroit,MI,48224,592102,Liquors-Retail
