Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description
Academy Of The Americas,5680 Konkel St,Detroit,MI,48210,821103,Schools
Akwaaba After School Program,8045 2nd Ave,Detroit,MI,48202,821103,Schools
Al Ikhlas Training Academy,12555 Mcdougall St,Detroit,MI,48212,821103,Schools
Allen Academy,4317 Blaine St,Detroit,MI,48204,821103,Schools
American Promise Schools,15000 Trojan St,Detroit,MI,48235,821103,Schools
Ann Arbor Trail Middle School,7635 Chatham,Detroit,MI,48239,821103,Schools
Bagley Elementary School,8100 Curtis St,Detroit,MI,48221,821103,Schools
Barton Elementary School,8530 Joy Rd,Detroit,MI,48204,821103,Schools
Bates Academy,19701 Wyoming St,Detroit,MI,48221,821103,Schools
Beard Elementary School,840 Waterman St,Detroit,MI,48209,821103,Schools
Benjamin Carson High Sch-Sci,571 Mack Ave,Detroit,MI,48201,821103,Schools
Benjamin E May's Male Academy,3544 Iroquois St,Detroit,MI,48214,821103,Schools
Bennett Elementary School,2111 Mullane St,Detroit,MI,48209,821103,Schools
Blanche Kelso Bruce Academy,5555 Conner St # 2223,Detroit,MI,48213,821103,Schools
Board Of Edu City Detroit,11600 E 7 Mile Rd,Detroit,MI,48205,821103,Schools
Board Of Edu City Detroit,2301 Van Dyke St,Detroit,MI,48214,821103,Schools
Booth Continuing Education,130 W Grand Blvd,Detroit,MI,48216,821103,Schools
Bow Elementary School,19801 Prevost St,Detroit,MI,48235,821103,Schools
Breithaupt Career & Tech Ctr,9300 Hubbell St,Detroit,MI,48228,821103,Schools
Brenda Scott Elementary Middle,18440 Hoover St,Detroit,MI,48205,821103,Schools
Brewer Academy,18025 Brock St,Detroit,MI,48205,821103,Schools
Bridge Academy West,3105 Carpenter St,Detroit,MI,48212,821103,Schools
Bunche Elementary Middle Schl,2715 Macomb St,Detroit,MI,48207,821103,Schools
Burns Elementary School,14350 Terry St,Detroit,MI,48227,821103,Schools
Burton International School,2001 Martin Luther King Blvd,Detroit,MI,48208,821103,Schools
Carleton Elementary School,11724 Casino St,Detroit,MI,48224,821103,Schools
Carstens Elementary-Middle,13000 Essex Ave,Detroit,MI,48215,821103,Schools
Carver Stem Academy,18701 Paul St,Detroit,MI,48228,821103,Schools
Cass Technical High School,2501 2nd Ave,Detroit,MI,48201,821103,Schools
Catherine Blackwell Institute,9330 Shoemaker St,Detroit,MI,48213,821103,Schools
Cesar Chavez Academy,4180 Martin St,Detroit,MI,48210,821103,Schools
Cesar Chavez Academy,8126 W Vernor Hwy,Detroit,MI,48209,821103,Schools
Cesar Chavez Academy High Sch,1761 Waterman St # A,Detroit,MI,48209,821103,Schools
Cesar Chavez Middle School,6782 Goldsmith St,Detroit,MI,48209,821103,Schools
Chapel Hill Family Life Ctr,4924 Joy Rd,Detroit,MI,48204,866107,Churches
Charles Drew Transition Ctr,9600 Wyoming St,Detroit,MI,48204,821103,Schools
Charlotte Mason Community Sch,1419 W Warren Ave # 3,Detroit,MI,48208,821103,Schools
Children's Village Intl Ctr,14901 Meyers Rd,Detroit,MI,48227,835102,Schools-Nursery & Kindergarten Academic
Childtime Learning Ctr,3031 W Grand Blvd # 100,Detroit,MI,48202,835102,Schools-Nursery & Kindergarten Academic
Childtime Learning Ctr,500 Renaissance Ctr # L3,Detroit,MI,48243,835102,Schools-Nursery & Kindergarten Academic
Christ The King Parish,20800 Grand River Ave,Detroit,MI,48219,866107,Churches
Christ The King School,16800 Trinity St,Detroit,MI,48219,821103,Schools
Chrysler Elementary School,1445 E Lafayette St,Detroit,MI,48207,821103,Schools
Clark Prepatory Academy,15755 Bremen St,Detroit,MI,48224,821103,Schools
Clintondale Community Schools,12744 Elmira St,Detroit,MI,48227,821103,Schools
Clippert Academy,1981 Mckinstry St,Detroit,MI,48209,821103,Schools
Cody Academy Public Leadership,18445 Cathedral St,Detroit,MI,48228,821103,Schools
Cody-Detroit Inst-Tech Clg,18445 Cathedral St,Detroit,MI,48228,821103,Schools
Coleman A Young Elementary,15771 Hubbell St,Detroit,MI,48227,821103,Schools
Commonwealth Development Acad,10731 W Mcnichols Rd,Detroit,MI,48221,821103,Schools
Communication Media High Schl,14771 Mansfield St,Detroit,MI,48227,821103,Schools
Communities In Schools,4151 Seminole St,Detroit,MI,48214,821103,Schools
Compuware Corp,1 Campus Martius,Detroit,MI,48226,737206,Computer Software
Consortium College Prep High,4366 Military St,Detroit,MI,48210,821103,Schools
Cooke Elementary School,18800 Puritan St,Detroit,MI,48223,821103,Schools
Cooley High School,15055 Hubbell St,Detroit,MI,48227,821103,Schools
Cornerstone Health High School,17351 Southfield Fwy,Detroit,MI,48235,821103,Schools
Cornerstone Health High School,19900 Mcintyre St,Detroit,MI,48219,821103,Schools
Cornerstone Schools,6861 E Nevada St # 3,Detroit,MI,48234,835102,Schools-Nursery & Kindergarten Academic
Covenant House Academy-Sw,1450 25th St,Detroit,MI,48216,821103,Schools
Crockett Career & Technical,571 Mack Ave,Detroit,MI,48201,821103,Schools
David Eliss Academy,18977 Schaefer Hwy,Detroit,MI,48235,821103,Schools
Denby High School,12800 Kelly Rd,Detroit,MI,48224,821103,Schools
Detroit Academy Of Arts,2985 E Jefferson Ave,Detroit,MI,48207,821103,Schools
Detroit Achievement Academy,7000 W Outer Dr,Detroit,MI,48235,821103,Schools
Detroit Area Pre-Clg Engrng,2111 Woodward Ave,Detroit,MI,48201,839998,Non-Profit Organizations
Detroit Board Of Education,7322 2nd Ave # 485,Detroit,MI,48202,821103,Schools
Detroit Capstone Academy,3500 John R St,Detroit,MI,48201,821103,Schools
Detroit Christian Sch-Excllnc,19370 Greenfield Rd,Detroit,MI,48235,821103,Schools
Detroit City School District,3011 W Grand Blvd # 11,Detroit,MI,48202,821120,School Districts
Detroit Collegiate Prep Hs-Nw,2200 W Grand Blvd,Detroit,MI,48208,821103,Schools
Detroit Community High School,12675 Burt Rd,Detroit,MI,48223,821103,Schools
Detroit Cristo Rey High Sch,5679 W Vernor Hwy,Detroit,MI,48209,824402,Schools-Business & Secretarial
Detroit Edison Public Sch Acad,1903 Wilkins St,Detroit,MI,48207,821103,Schools
Detroit Enterprise Academies,11224 Kercheval St,Detroit,MI,48214,821103,Schools
Detroit Innovation Academy,18211 Plymouth Rd,Detroit,MI,48228,821103,Schools
Detroit International Acad,9026 Woodward Ave,Detroit,MI,48202,821103,Schools
Detroit Leadership Academy,13550 Virgil St,Detroit,MI,48223,821103,Schools
Detroit Leadership Academy,5845 Auburn St,Detroit,MI,48228,821103,Schools
Detroit Merit Charter Academy,1091 Alter Rd,Detroit,MI,48215,821103,Schools
Detroit Premier Academy,7781 Asbury Park,Detroit,MI,48228,821103,Schools
Detroit Pub Schools Cmnty Dst,22601 Pembroke Ave,Detroit,MI,48219,821103,Schools
Detroit Public Safety Academy,1250 Rosa Parks Blvd,Detroit,MI,48216,821103,Schools
Detroit Public Sch Cmnty Dist,3011 W Grand Blvd # 14,Detroit,MI,48202,821120,School Districts
Detroit Public Sch Golightly,900 Dickerson St,Detroit,MI,48215,821103,Schools
Detroit Public Sch-Guidance,2750 Selden St,Detroit,MI,48208,821103,Schools
Detroit Public School,1091 Hibbard St,Detroit,MI,48214,821103,Schools
Detroit Public School,19625 Elmira St,Detroit,MI,48228,821103,Schools
Detroit Public School,3030 Fairview St,Detroit,MI,48214,821103,Schools
Detroit Public School,6145 Canyon St,Detroit,MI,48236,821103,Schools
Detroit Public School District,2200 W Grand Blvd,Detroit,MI,48208,821120,School Districts
Detroit Public Schools,16148 Normandy St,Detroit,MI,48221,821103,Schools
Detroit Public Schools,16661 Greenlawn St,Detroit,MI,48221,821103,Schools
Detroit Public Schools,17210 Cambridge Ave,Detroit,MI,48235,821103,Schools
Detroit Public Schools,3200 E Lafayette St,Detroit,MI,48207,821103,Schools
Detroit Public Schools,3700 Pulford St,Detroit,MI,48207,821103,Schools
Detroit Public Schools,7321 2nd Ave # 14,Detroit,MI,48202,821103,Schools
Detroit Public Schools,8030 E Outer Dr,Detroit,MI,48213,821103,Schools
Detroit Public Schools Admin,7430 2nd Ave # 425,Detroit,MI,48202,821103,Schools
Detroit Recovery Project,1121 E Mcnichols Rd,Detroit,MI,48203,839901,Drug Abuse & Addiction Info & Treatment
Detroit School For The Deaf,4555 John C Lodge Fwy,Detroit,MI,48201,821103,Schools
Detroit School Of Arts,,Detroit,MI,48226,821103,Schools
Detroit School Of Arts,123 Selden St,Detroit,MI,48201,821103,Schools
Detroit Service Learning Acad,21605 W 7 Mile Rd,Detroit,MI,48219,821103,Schools
Detroit Training Ctr Inc,277 Gratiot Ave # 400,Detroit,MI,48226,821103,Schools
Detroit Waldorf School,2555 Burns St,Detroit,MI,48214,839998,Non-Profit Organizations
Dorsey Schools Dearborn,18660 Ford Rd,Detroit,MI,48228,821103,Schools
Dove Academy Of Detroit,20001 Wexford St,Detroit,MI,48234,821103,Schools
DPS School,17525 Wyoming St,Detroit,MI,48221,821103,Schools
Durfee Middle School,2470 Collingwood St,Detroit,MI,48206,821103,Schools
EAA-Central Collegiate Academy,2425 Tuxedo St,Detroit,MI,48206,821103,Schools
EAA-Murphy Elementary-Middle,23901 Fenkell St,Detroit,MI,48223,821103,Schools
Earhart Elementary-Middle Sch,1000 Scotten St,Detroit,MI,48209,821103,Schools
East English Vlg Preparatory,5020 Cadieux Rd,Detroit,MI,48224,821103,Schools
Edison Elementary School,17045 Grand River Ave,Detroit,MI,48227,821103,Schools
Edmonson Academy,1300 W Canfield St,Detroit,MI,48201,821103,Schools
Edward 'Duke' Ellington @,9860 Park Dr,Detroit,MI,48213,821103,Schools
Eman Inc,6111 Miller St,Detroit,MI,48211,821103,Schools
Emerson Elementary-Middle Sch,18240 Huntington Rd,Detroit,MI,48219,821103,Schools
Erma Henderson Upper School,16101 W Chicago St,Detroit,MI,48228,821103,Schools
Ernest J Dossin Elem-Mdle Schl,16650 Glendale St,Detroit,MI,48227,821103,Schools
Evergreen Lutheran Church,8680 Evergreen Ave,Detroit,MI,48228,866107,Churches
Excellent Schools Detroit,18100 Meyers Rd,Detroit,MI,48235,821103,Schools
Excellent Schools Detroit,20405 Schoolcraft,Detroit,MI,48223,821103,Schools
Excellent Schools Detroit,2111 Woodward Ave # 506,Detroit,MI,48201,869903,Organizations
Experiencia Preparatory Acad,950 Selden St,Detroit,MI,48201,821103,Schools
Fisher Lower School,15510 E State Fair St,Detroit,MI,48205,821103,Schools
Fisher Magnet School,15491 Maddelein St,Detroit,MI,48205,821103,Schools
Fleming Elementary School,18501 Waltham St,Detroit,MI,48205,821103,Schools
Foreign Language Immersion,6501 W Outer Dr,Detroit,MI,48235,821103,Schools
Franklin Adult Education,1333 Pine St,Detroit,MI,48201,822298,Junior-Community College-Tech Institutes
Frederick Douglass College Prp,2001 W Warren Ave,Detroit,MI,48208,821103,Schools
Gardner Elementary School,6528 Mansfield St,Detroit,MI,48228,821103,Schools
Garvey Academy,2301 Van Dyke St,Detroit,MI,48214,821103,Schools
Gee White Academy,5161 Charles St,Detroit,MI,48212,821103,Schools
George Crockett Academy,4851 14th St,Detroit,MI,48208,821103,Schools
Gesu Church School,17139 Oak Dr,Detroit,MI,48221,821101,Religious Schools
Giving Tree Montessori Sch Inc,4351 Marseilles St,Detroit,MI,48224,821105,Montessori Schools
Glazer Elementary School,2001 LA Belle St,Detroit,MI,48238,821103,Schools
Golightly Educational Ctr,5536 Saint Antoine St,Detroit,MI,48202,821103,Schools
Great North Learning Ctr,2216 E 7 Mile Rd,Detroit,MI,48234,821103,Schools
Growing Minds Learning Ctr,11475 E Outer Dr,Detroit,MI,48224,835102,Schools-Nursery & Kindergarten Academic
Hamilton Academy,14223 Southampton St,Detroit,MI,48213,821103,Schools
Harms Elementary School,2400 Central St,Detroit,MI,48209,821103,Schools
Henry Ford Acad Schl-Creative,485 W Milwaukee St,Detroit,MI,48202,821103,Schools
Henry Ford Academy,10225 3rd St,Detroit,MI,48202,821103,Schools
Henry Ford High School,20000 Evergreen Rd,Detroit,MI,48219,821103,Schools
Holy Redeemer Grade School,1711 Junction St,Detroit,MI,48209,821103,Schools
Hom & Arene,150 W Jefferson Ave # 1500,Detroit,MI,48226,811103,Attorneys
Hope Academy,12121 Broadstreet Ave,Detroit,MI,48204,821103,Schools
Hope Of Detroit Academy School,4443 N Campbell St,Detroit,MI,48210,821103,Schools
Hutchinson Elementary-Middle,2600 Garland St,Detroit,MI,48214,821103,Schools
Innovative Teaching Solutions,7000 W Outer Dr,Detroit,MI,48235,821103,Schools
Innovative Teaching Solutions,8001 W Outer Dr,Detroit,MI,48235,821103,Schools
