Company Name,Address,City,State,ZIP Code,Primary SIC Code,Primary SIC Description
44 Burrito,14015 W 8 Mile Rd,Detroit,MI,48235,581208,Restaurants
Applebee's,2111 W 8 Mile Rd,Detroit,MI,48203,581208,Restaurants
Applebee's,333 E Jefferson Ave,Detroit,MI,48226,581208,Restaurants
Barakah Kabob,17620 W Warren Ave,Detroit,MI,48228,581206,Foods-Carry Out
Bellacino's Pizza & Grinders,1001 Woodward Ave # 100,Detroit,MI,48226,581222,Pizza
Bellacino's Pizza & Grinders,2867 E 7 Mile Rd,Detroit,MI,48234,581222,Pizza
Big Burgzs,17627 E Warren Ave,Detroit,MI,48224,581208,Restaurants
Blimpie Subs & Salads,108 W Hancock St,Detroit,MI,48201,581208,Restaurants
Boston Market,18610 Livernois Ave,Detroit,MI,48221,581208,Restaurants
BP,10736 E Jefferson Ave,Detroit,MI,48214,554101,Service Stations-Gasoline & Oil
Buddy's Pizza,17125 Conant St,Detroit,MI,48212,581222,Pizza
Buffalo Wild Wings Grill & Bar,1218 Randolph St,Detroit,MI,48226,581208,Restaurants
Burger King,12661 Mack Ave,Detroit,MI,48215,581208,Restaurants
Burger King,13600 W Mcnichols Rd,Detroit,MI,48235,581208,Restaurants
Burger King,1425 W Lafayette Blvd,Detroit,MI,48216,581208,Restaurants
Burger King,15500 W 7 Mile Rd,Detroit,MI,48235,581208,Restaurants
Burger King,16245 Livernois Ave,Detroit,MI,48221,581208,Restaurants
Burger King,17440 E Warren Ave,Detroit,MI,48224,581208,Restaurants
Burger King,18021 Kelly Rd,Detroit,MI,48224,581208,Restaurants
Burger King,18440 Grand River Ave,Detroit,MI,48223,581208,Restaurants
Burger King,19901 Van Dyke St,Detroit,MI,48234,581208,Restaurants
Burger King,20200 Grand River Ave,Detroit,MI,48219,581208,Restaurants
Burger King,2155 Gratiot Ave,Detroit,MI,48207,581208,Restaurants
Burger King,3200 W Davison,Detroit,MI,48238,581208,Restaurants
Burger King,400 Renaissance Ctr # 1042,Detroit,MI,48243,581208,Restaurants
Burger King,6251 W Vernor Hwy,Detroit,MI,48209,581208,Restaurants
Burger King,8585 Greenfield Rd,Detroit,MI,48228,581208,Restaurants
Burger King,9239 Gratiot Ave,Detroit,MI,48213,581208,Restaurants
Burger King,9871 Livernois Ave,Detroit,MI,48204,581208,Restaurants
Captain Jay's Fish & Chicken,12248 E Warren Ave,Detroit,MI,48215,581208,Restaurants
Checkers Drive-In Restaurant,10711 W 7 Mile Rd,Detroit,MI,48221,581208,Restaurants
Checkers Drive-In Restaurant,11641 Greenfield Rd,Detroit,MI,48227,581208,Restaurants
Checkers Drive-In Restaurant,14350 Livernois Ave,Detroit,MI,48238,581208,Restaurants
Checkers Drive-In Restaurant,16511 Harper Ave,Detroit,MI,48224,581208,Restaurants
Checkers Drive-In Restaurant,17620 Grand River Ave,Detroit,MI,48227,581208,Restaurants
Checkers Drive-In Restaurant,19801 W 8 Mile Rd,Detroit,MI,48219,581208,Restaurants
