Address,Name,InstallDate,Latitude,Longitude,Tract,DistToStation,Before,PctMurder,PctRobbery,PctAggAlt,PctBurg,PctLarc,PctVTheft,PctArson,After,ISGAS,ISLIQUOR,ISFAST,PctReduction,NearBar,NearCorner,NearGeneral,NearLiquor,NearSchool,NearTO
15229 W 8 Mile Rd,GDI Services Inc.,10/30/17,42.45025,-82.96551,5392,16878.16604,93,0,0.107526882,0.11827957,0.215053763,0.387096774,0.129032258,0.043010753,18,0,0,0,80.64516129,2134.566396,1688.875706,1374.806371,165.999775,2930.475747,1223.770074
22355 W 8 Mile Rd,West Oaks Senior Care,10/30/17,42.44263,-83.26426,5415,10659.24185,76,0,0.039473684,0.223684211,0.263157895,0.342105263,0.131578947,0,28,0,0,0,63.15789474,1966.69172,4115.393538,1515.051223,5141.789532,1923.54013,1085.053502
418 W Willis St,Alley Taco,10/11/17,42.35047,-83.06382,5203,7883.955048,99,0,0.101010101,0.04040404,0.080808081,0.646464646,0.090909091,0.04040404,40,0,0,0,59.5959596,535.9137684,1247.038,168.7855489,923.3257342,1086.711607,812.8624207
5015 Livernois Ave,Sunoco,9/12/17,42.33669,-83.12448,5258,12492.4382,38,0,0.184210526,0.210526316,0.184210526,0.289473684,0.105263158,0.026315789,13,1,0,0,65.78947368,3713.78695,1937.560176,2059.696465,1004.142118,1897.503376,10.47770849
12340 Dexter Ave,Valero,9/8/17,42.38444,-83.12665,5315,4308.644342,75,0.013333333,0.186666667,0.346666667,0.146666667,0.2,0.106666667,0,17,1,0,0,77.33333333,9030.249662,2916.346365,596.6695213,2429.535759,3024.000228,2469.245013
20436 W 7 Mile Rd,International Language Solutions,9/6/17,42.42973,-83.24393,5410,6353.494354,132,0.007575758,0.075757576,0.265151515,0.212121212,0.287878788,0.136363636,0.015151515,41,0,0,0,68.93939394,5973.693395,701.1905814,653.8467295,153.671755,3257.165776,924.116439
8901 Woodward Ave,Marathon,8/31/17,42.38147,-83.0813,5324,4994.665304,68,0,0.220588235,0.220588235,0.161764706,0.323529412,0.073529412,0,32,1,0,0,52.94117647,5131.038627,1136.672483,887.2032904,2946.951532,672.4148865,835.245405
17336 Lahser Rd,Motor City Java,8/29/17,42.41713,-83.25734,5412,1253.62327,92,0.010869565,0.25,0.130434783,0.065217391,0.413043478,0.097826087,0.032608696,32,0,0,0,65.2173913,4037.18803,599.6171125,788.1637448,4391.16869,943.7045188,689.350409
17200 W McNichols Rd,Mega Liquor,8/25/17,42.41593,-83.21227,5404,11463.89181,34,0,0.088235294,0.147058824,0.264705882,0.176470588,0.323529412,0,14,0,1,0,58.82352941,2650.804272,679.2634075,1531.460923,42.77657448,1485.438221,1575.786553
7400 Woodward Ave,New Center Liquor,8/23/17,42.37136,-83.07362,5119,2454.823359,80,0,0.15,0.1375,0.0625,0.5875,0.0625,0,31,0,1,0,61.25,971.9307521,1514.50356,2869.920111,60.39720126,262.0259658,1084.989773
